Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,62.931776,27.587029,9.30698,0.173177,0.001037
2022-01-03T00:00:00Z,62.305737,27.137709,10.28,0.273761,0.002793
2022-01-10T00:00:00Z,64.543615,23.751702,11.534461,0.163603,0.00662
2022-01-17T00:00:00Z,64.460259,23.88076,11.497404,0.158854,0.002723
2022-01-24T00:00:00Z,63.172579,26.115346,10.411879,0.293412,0.006784
2022-01-31T00:00:00Z,60.91529,27.498341,11.439827,0.143957,0.002586
2022-02-07T00:00:00Z,61.174225,27.716166,10.863818,0.242413,0.003379
2022-02-14T00:00:00Z,64.181095,26.333506,9.373489,0.108328,0.003581
2022-02-21T00:00:00Z,65.546501,23.607407,10.704362,0.138,0.00373
2022-02-28T00:00:00Z,63.625763,24.811879,11.197048,0.358932,0.006377
2022-03-07T00:00:00Z,63.49564,24.733819,11.443067,0.322673,0.004802
2022-03-14T00:00:00Z,59.51782,27.175468,13.197295,0.106611,0.002806
2022-03-21T00:00:00Z,62.996458,25.557261,11.123967,0.31523,0.007084
2022-03-28T00:00:00Z,62.836121,26.85874,10.128484,0.174833,0.001821
2022-04-04T00:00:00Z,64.113916,27.319474,8.449284,0.107243,0.010083
2022-04-11T00:00:00Z,58.545687,30.281598,10.915639,0.257075,0.0
2022-04-18T00:00:00Z,63.094211,27.086086,9.596925,0.208581,0.014197
2022-04-25T00:00:00Z,62.087303,28.351653,9.451229,0.106765,0.00305
2022-05-02T00:00:00Z,64.855792,25.007227,9.94862,0.188361,0.0
2022-05-09T00:00:00Z,61.923515,28.78176,9.231753,0.056974,0.005997
2022-05-16T00:00:00Z,63.826771,26.139729,9.870369,0.150507,0.012623
2022-05-23T00:00:00Z,62.232888,28.1559,9.422002,0.188141,0.001069
2022-05-30T00:00:00Z,58.388644,30.020671,11.41527,0.170674,0.004741
2022-06-06T00:00:00Z,64.474194,24.691597,10.750309,0.0839,0.0
2022-06-13T00:00:00Z,61.812502,29.915407,8.103658,0.167493,0.000941
2022-06-20T00:00:00Z,61.335252,29.244506,9.317982,0.097526,0.004734
2022-06-27T00:00:00Z,58.223714,31.529779,10.162121,0.084387,0.0
2022-07-04T00:00:00Z,57.262299,32.906333,9.67301,0.15553,0.002828
2022-07-11T00:00:00Z,64.725832,25.736158,9.494392,0.039167,0.004451
2022-07-18T00:00:00Z,58.586803,29.996565,11.35557,0.056291,0.00477
2022-07-25T00:00:00Z,61.369536,28.797324,9.674752,0.140624,0.017764
2022-08-01T00:00:00Z,61.832642,29.536922,8.500449,0.125711,0.004276
2022-08-08T00:00:00Z,53.77605,39.21763,6.954587,0.05087,0.000862
2022-08-15T00:00:00Z,55.074191,35.644084,9.239301,0.035353,0.007071
2022-08-22T00:00:00Z,57.430436,31.321547,11.104567,0.13775,0.0057
2022-08-29T00:00:00Z,58.498148,32.674076,8.713784,0.095944,0.018049
2022-09-05T00:00:00Z,58.28922,32.971815,8.579741,0.155056,0.004168
2022-09-12T00:00:00Z,59.054203,33.635204,7.262979,0.046661,0.000952
2022-09-19T00:00:00Z,53.473606,38.492001,7.931049,0.100037,0.003307
2022-09-26T00:00:00Z,62.622248,29.364654,7.81007,0.19698,0.006048
2022-10-03T00:00:00Z,66.605017,26.893377,6.437481,0.062775,0.00135
2022-10-10T00:00:00Z,56.965485,28.785394,14.191201,0.051394,0.006526
2022-10-17T00:00:00Z,54.495686,34.375437,11.055195,0.072945,0.000737
2022-10-24T00:00:00Z,58.97234,32.969832,7.991932,0.045806,0.02009
2022-10-31T00:00:00Z,62.650556,29.893789,7.372883,0.079678,0.003094
2022-11-07T00:00:00Z,64.637701,27.013483,8.33518,0.011932,0.001705
2022-11-14T00:00:00Z,60.24235,31.722357,7.940108,0.094358,0.000828
2022-11-21T00:00:00Z,61.206828,29.321862,9.425193,0.043235,0.002882
2022-11-28T00:00:00Z,58.769474,30.54798,10.593315,0.079876,0.009355
2022-12-05T00:00:00Z,60.920021,28.11512,10.886582,0.071437,0.00684
2022-12-12T00:00:00Z,67.786348,26.003983,6.195184,0.013036,0.001448
2022-12-19T00:00:00Z,59.776667,31.457477,8.688636,0.064206,0.013015
2022-12-26T00:00:00Z,61.561667,30.919134,7.460703,0.053482,0.005014
