Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,62.556195,22.09177,14.882036,0.462567,0.007431
2022-01-03T00:00:00Z,62.646311,21.936968,14.951121,0.45818,0.00742
2022-01-10T00:00:00Z,64.322917,18.934197,16.539634,0.195312,0.00794
2022-01-17T00:00:00Z,60.460165,20.41197,18.763101,0.34991,0.014855
2022-01-24T00:00:00Z,57.826711,18.676607,23.315417,0.173384,0.007881
2022-01-31T00:00:00Z,62.938563,20.229211,16.609192,0.205878,0.017156
2022-02-07T00:00:00Z,63.550402,20.234142,15.836476,0.345209,0.03377
2022-02-14T00:00:00Z,62.877495,20.178823,16.266602,0.675224,0.001855
2022-02-21T00:00:00Z,63.172718,20.644148,15.701107,0.462169,0.019859
2022-02-28T00:00:00Z,64.210007,19.056125,16.315351,0.401504,0.017013
2022-03-07T00:00:00Z,62.707901,19.531644,17.499439,0.254004,0.007012
2022-03-14T00:00:00Z,62.145048,21.588998,16.046634,0.197883,0.021437
2022-03-21T00:00:00Z,70.324735,17.362199,11.992979,0.314925,0.005163
2022-03-28T00:00:00Z,59.671212,24.621707,15.557631,0.140108,0.009341
2022-04-04T00:00:00Z,68.77461,18.443182,12.337007,0.421457,0.023744
2022-04-11T00:00:00Z,67.664799,17.535036,14.402821,0.397344,0.0
2022-04-18T00:00:00Z,67.675347,17.095986,14.764475,0.460676,0.003517
2022-04-25T00:00:00Z,65.657424,18.095803,15.983771,0.258191,0.004811
2022-05-02T00:00:00Z,62.945106,20.648553,16.064822,0.331475,0.010045
2022-05-09T00:00:00Z,70.091706,17.134123,12.553574,0.203265,0.017333
2022-05-16T00:00:00Z,65.184854,19.517608,14.993032,0.297624,0.006881
2022-05-23T00:00:00Z,59.878175,19.47689,20.465879,0.177382,0.001673
2022-05-30T00:00:00Z,61.160368,15.842609,18.214471,4.763137,0.019415
2022-06-06T00:00:00Z,62.790242,20.053231,16.994873,0.158388,0.003266
2022-06-13T00:00:00Z,64.829793,19.367167,15.680384,0.099547,0.023109
2022-06-20T00:00:00Z,66.763957,17.998185,14.949545,0.284753,0.003559
2022-06-27T00:00:00Z,67.295955,16.358331,16.213232,0.126173,0.006309
2022-07-04T00:00:00Z,63.75968,17.47111,18.549426,0.21635,0.003434
2022-07-11T00:00:00Z,63.028225,15.86575,20.966402,0.129019,0.010604
2022-07-18T00:00:00Z,64.742671,14.283388,20.654723,0.12215,0.197068
2022-07-25T00:00:00Z,62.273055,14.801586,22.769111,0.143007,0.013241
2022-08-01T00:00:00Z,51.862532,15.435798,32.478216,0.217212,0.006242
2022-08-08T00:00:00Z,68.654075,14.460271,16.817693,0.062298,0.005663
2022-08-15T00:00:00Z,63.374763,12.936044,23.577249,0.105358,0.006585
2022-08-22T00:00:00Z,62.487584,15.315638,22.151253,0.035868,0.009657
2022-08-29T00:00:00Z,61.254155,17.286189,21.370505,0.089151,0.0
2022-09-05T00:00:00Z,65.526304,15.049203,19.270686,0.144847,0.00896
2022-09-12T00:00:00Z,69.770859,14.816489,15.293985,0.10454,0.014127
2022-09-19T00:00:00Z,70.154001,13.769842,16.016983,0.059174,0.0
2022-09-26T00:00:00Z,71.123449,14.000899,14.630235,0.240557,0.00486
2022-10-03T00:00:00Z,70.140484,14.171724,15.416979,0.259932,0.010881
2022-10-10T00:00:00Z,71.754735,15.441067,12.301173,0.501878,0.001148
2022-10-17T00:00:00Z,68.713621,17.614671,13.585186,0.083152,0.003371
2022-10-24T00:00:00Z,70.579952,14.329356,14.983294,0.102625,0.004773
2022-10-31T00:00:00Z,71.543647,15.815814,12.457724,0.172532,0.010283
2022-11-07T00:00:00Z,70.764629,15.392688,13.571282,0.259339,0.012062
2022-11-14T00:00:00Z,71.64908,15.366508,12.945765,0.03045,0.008198
2022-11-21T00:00:00Z,74.453339,16.211937,9.212007,0.119537,0.003179
2022-11-28T00:00:00Z,70.801532,18.143919,10.902624,0.144005,0.00792
2022-12-05T00:00:00Z,70.175848,16.823929,12.802558,0.186477,0.011189
2022-12-12T00:00:00Z,70.332702,14.587143,15.01278,0.063097,0.004278
2022-12-19T00:00:00Z,69.152789,16.514417,14.060875,0.260642,0.011278
2022-12-26T00:00:00Z,69.525322,15.7872,14.480842,0.198464,0.008172
