Serie_0 timestamps,Serie_0  T L S 1.2,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,48.412698,48.412698,3.174603,0.0,0.0
2022-01-03T00:00:00Z,13.009709,73.203883,13.398058,0.0,0.38835
2022-01-10T00:00:00Z,25.862069,47.826087,26.311844,0.0,0.0
2022-01-17T00:00:00Z,11.483551,51.520795,36.747362,0.248293,0.0
2022-01-24T00:00:00Z,22.762478,58.605852,18.545611,0.086059,0.0
2022-01-31T00:00:00Z,18.896834,45.556691,35.393258,0.102145,0.051073
2022-02-07T00:00:00Z,24.522761,50.220264,24.963289,0.146843,0.146843
2022-02-14T00:00:00Z,42.162162,48.716216,8.986486,0.135135,0.0
2022-02-21T00:00:00Z,31.153564,46.803821,22.042616,0.0,0.0
2022-02-28T00:00:00Z,29.093369,47.564276,23.139378,0.135318,0.067659
2022-03-07T00:00:00Z,25.246157,64.553375,10.058794,0.141673,0.0
2022-03-14T00:00:00Z,29.065301,63.636364,7.170294,0.128041,0.0
2022-03-21T00:00:00Z,19.906166,61.126005,18.632708,0.268097,0.067024
2022-03-28T00:00:00Z,14.719626,52.686916,32.301402,0.175234,0.116822
2022-04-04T00:00:00Z,23.763441,62.795699,13.44086,0.0,0.0
2022-04-11T00:00:00Z,26.040932,56.951306,16.725476,0.282287,0.0
2022-04-18T00:00:00Z,8.501027,49.199179,42.135524,0.164271,0.0
2022-04-25T00:00:00Z,12.762973,50.350631,36.886396,0.0,0.0
2022-05-02T00:00:00Z,18.343195,43.918475,37.672584,0.065746,0.0
2022-05-09T00:00:00Z,22.215026,57.966321,19.624352,0.064767,0.129534
2022-05-16T00:00:00Z,6.628571,58.628571,34.742857,0.0,0.0
2022-05-23T00:00:00Z,12.487757,70.470127,17.042116,0.0,0.0
2022-05-30T00:00:00Z,28.003314,58.326429,13.421707,0.24855,0.0
2022-06-06T00:00:00Z,53.414996,33.778768,12.323682,0.482554,0.0
2022-06-13T00:00:00Z,17.286162,73.667712,8.956561,0.089566,0.0
2022-06-20T00:00:00Z,17.487509,54.889365,27.408994,0.214133,0.0
2022-06-27T00:00:00Z,8.619899,60.8895,30.490601,0.0,0.0
2022-07-04T00:00:00Z,4.808171,84.72845,10.189337,0.274041,0.0
2022-07-11T00:00:00Z,12.082671,50.63593,37.201908,0.079491,0.0
2022-07-18T00:00:00Z,9.123344,57.594292,31.753313,1.529052,0.0
2022-07-25T00:00:00Z,12.831467,55.87802,31.241406,0.049106,0.0
2022-08-01T00:00:00Z,9.159664,68.151261,22.436975,0.252101,0.0
2022-08-08T00:00:00Z,10.874704,69.030733,20.094563,0.0,0.0
2022-08-15T00:00:00Z,19.318182,62.587413,17.832168,0.262238,0.0
2022-08-22T00:00:00Z,16.381418,57.131214,26.324368,0.162999,0.0
2022-08-29T00:00:00Z,24.393531,69.878706,5.660377,0.067385,0.0
2022-09-05T00:00:00Z,12.147134,63.387511,23.52438,0.940975,0.0
2022-09-12T00:00:00Z,28.864266,45.484765,25.595568,0.055402,0.0
2022-09-19T00:00:00Z,9.661495,62.693935,27.64457,0.0,0.0
2022-09-26T00:00:00Z,9.326425,68.458549,22.150259,0.064767,0.0
2022-10-03T00:00:00Z,5.405405,85.263835,9.266409,0.06435,0.0
2022-10-10T00:00:00Z,23.052246,58.570119,18.377635,0.0,0.0
2022-10-17T00:00:00Z,16.86011,55.65058,27.428222,0.061087,0.0
2022-10-24T00:00:00Z,28.199234,58.237548,13.409962,0.153257,0.0
2022-10-31T00:00:00Z,7.813098,81.386442,10.685561,0.114899,0.0
2022-11-07T00:00:00Z,12.456294,59.353147,28.190559,0.0,0.0
2022-11-14T00:00:00Z,9.33689,63.719512,26.943598,0.0,0.0
2022-11-21T00:00:00Z,10.515464,53.745704,35.738832,0.0,0.0
2022-11-28T00:00:00Z,5.576532,78.390938,15.974441,0.058089,0.0
2022-12-05T00:00:00Z,7.512806,48.264087,44.166192,0.056915,0.0
2022-12-12T00:00:00Z,7.391613,83.830846,8.706468,0.071073,0.0
2022-12-19T00:00:00Z,15.506716,50.18315,34.249084,0.06105,0.0
2022-12-26T00:00:00Z,19.014831,45.338983,35.487288,0.052966,0.105932
