Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,67.389105,17.590419,14.815006,0.200598,0.004872
2022-01-03T00:00:00Z,66.608267,19.40484,13.763075,0.220078,0.00374
2022-01-10T00:00:00Z,67.828752,18.568613,13.354485,0.24626,0.00189
2022-01-17T00:00:00Z,68.357572,17.85275,13.45645,0.314656,0.018573
2022-01-24T00:00:00Z,69.527029,17.548208,12.553759,0.369686,0.001318
2022-01-31T00:00:00Z,67.291359,17.697105,14.045272,0.961532,0.004733
2022-02-07T00:00:00Z,66.72796,19.012828,13.721196,0.535837,0.002179
2022-02-14T00:00:00Z,69.243866,17.58527,12.927488,0.240087,0.003289
2022-02-21T00:00:00Z,73.706633,15.983252,10.113505,0.187877,0.008733
2022-02-28T00:00:00Z,73.49275,16.339973,10.014415,0.13384,0.019022
2022-03-07T00:00:00Z,71.262333,17.487392,11.050833,0.180498,0.018944
2022-03-14T00:00:00Z,69.308332,16.609171,13.908573,0.133437,0.040486
2022-03-21T00:00:00Z,72.621583,17.634836,9.536538,0.139422,0.067621
2022-03-28T00:00:00Z,70.363861,17.001593,12.402673,0.230208,0.001665
2022-04-04T00:00:00Z,72.572495,16.850678,10.468032,0.101447,0.007348
2022-04-11T00:00:00Z,71.809385,17.085984,10.990657,0.109619,0.004356
2022-04-18T00:00:00Z,69.654044,20.666808,9.571341,0.106479,0.001328
2022-04-25T00:00:00Z,71.357015,17.827898,10.695603,0.117016,0.002469
2022-05-02T00:00:00Z,71.027959,19.024883,9.425684,0.517304,0.00417
2022-05-09T00:00:00Z,72.424855,18.206595,9.219566,0.145218,0.003766
2022-05-16T00:00:00Z,72.049903,17.488724,10.329168,0.131262,0.000943
2022-05-23T00:00:00Z,69.458852,18.625633,11.702213,0.21227,0.001032
2022-05-30T00:00:00Z,64.900076,18.378404,16.581061,0.13997,0.000489
2022-06-06T00:00:00Z,60.472232,22.174195,17.275287,0.076746,0.00154
2022-06-13T00:00:00Z,68.355249,20.179155,11.322114,0.141512,0.001969
2022-06-20T00:00:00Z,58.787494,27.474685,13.614792,0.121435,0.001594
2022-06-27T00:00:00Z,54.151883,28.279031,17.397493,0.168422,0.003171
2022-07-04T00:00:00Z,53.020994,30.601209,16.120317,0.256359,0.001121
2022-07-11T00:00:00Z,55.106922,30.571639,14.175243,0.10612,0.040076
2022-07-18T00:00:00Z,53.992121,31.603027,14.220559,0.180364,0.003929
2022-07-25T00:00:00Z,55.51824,30.805518,13.55588,0.119314,0.001049
2022-08-01T00:00:00Z,55.420325,32.912777,11.400622,0.263302,0.002973
2022-08-08T00:00:00Z,52.498219,35.674222,11.728193,0.095771,0.003595
2022-08-15T00:00:00Z,60.075692,27.439168,12.396486,0.087647,0.001007
2022-08-22T00:00:00Z,56.355188,32.625761,10.859359,0.094087,0.065605
2022-08-29T00:00:00Z,55.627976,32.909835,11.377284,0.082663,0.002242
2022-09-05T00:00:00Z,57.820512,31.099776,11.00228,0.073707,0.003725
2022-09-12T00:00:00Z,59.11899,28.908753,11.905065,0.064644,0.002548
2022-09-19T00:00:00Z,59.153933,29.426161,11.347126,0.069733,0.003047
2022-09-26T00:00:00Z,57.146283,30.32322,12.418934,0.10635,0.005213
2022-10-03T00:00:00Z,58.973716,31.111506,9.83165,0.076782,0.006346
2022-10-10T00:00:00Z,63.461424,26.614378,9.814211,0.10631,0.003676
2022-10-17T00:00:00Z,58.645225,29.414499,11.872406,0.061671,0.006198
2022-10-24T00:00:00Z,61.184477,28.220126,10.48269,0.10992,0.002787
2022-10-31T00:00:00Z,60.387515,28.925247,10.605972,0.075441,0.005826
2022-11-07T00:00:00Z,59.504815,28.91993,11.509013,0.060221,0.006022
2022-11-14T00:00:00Z,58.088249,31.357955,10.494981,0.055339,0.003475
2022-11-21T00:00:00Z,56.430173,32.583076,10.835495,0.141862,0.009393
2022-11-28T00:00:00Z,59.171549,27.597946,13.119666,0.091118,0.01972
2022-12-05T00:00:00Z,65.903545,21.272084,12.725276,0.091331,0.007765
2022-12-12T00:00:00Z,56.494564,27.622252,15.702305,0.169227,0.011652
2022-12-19T00:00:00Z,54.18283,25.66086,20.046619,0.098836,0.010855
2022-12-26T00:00:00Z,54.434076,28.487989,16.931764,0.131917,0.014253
