Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,64.735077,19.22467,15.682702,0.35069,0.006861
2022-01-03T00:00:00Z,65.073265,19.491729,15.227693,0.193916,0.013398
2022-01-10T00:00:00Z,64.615854,19.975711,15.171228,0.230104,0.007102
2022-01-17T00:00:00Z,65.597273,19.079664,15.069267,0.247673,0.006124
2022-01-24T00:00:00Z,64.009124,20.929537,14.840881,0.212112,0.008345
2022-01-31T00:00:00Z,63.477849,22.386646,13.802565,0.319781,0.01316
2022-02-07T00:00:00Z,62.547772,23.163933,14.041992,0.234926,0.011378
2022-02-14T00:00:00Z,62.275701,22.949843,14.555679,0.212466,0.006311
2022-02-21T00:00:00Z,64.111827,21.280243,14.340246,0.251979,0.015706
2022-02-28T00:00:00Z,63.515076,22.110082,14.072529,0.290354,0.01196
2022-03-07T00:00:00Z,64.819759,22.106648,12.832084,0.234408,0.007101
2022-03-14T00:00:00Z,56.859092,28.102697,14.892945,0.128213,0.017053
2022-03-21T00:00:00Z,61.92242,25.687003,12.065096,0.309876,0.015605
2022-03-28T00:00:00Z,64.730651,20.051941,14.945408,0.260475,0.011525
2022-04-04T00:00:00Z,66.793453,20.043912,12.953128,0.20255,0.006958
2022-04-11T00:00:00Z,66.581874,19.69543,13.515375,0.192999,0.014321
2022-04-18T00:00:00Z,66.051401,21.403878,12.255959,0.282732,0.00603
2022-04-25T00:00:00Z,68.593173,19.40321,11.329214,0.23422,0.440183
2022-05-02T00:00:00Z,57.659108,29.924866,12.220268,0.191408,0.00435
2022-05-09T00:00:00Z,60.506215,22.759098,16.61924,0.105462,0.009985
2022-05-16T00:00:00Z,63.648936,21.03348,15.219566,0.083919,0.014098
2022-05-23T00:00:00Z,67.404147,21.54734,10.86072,0.174752,0.013041
2022-05-30T00:00:00Z,67.923046,20.191281,11.74694,0.133209,0.005525
2022-06-06T00:00:00Z,67.662245,20.339068,11.845678,0.140212,0.012797
2022-06-13T00:00:00Z,70.878889,19.013756,9.957442,0.144422,0.005491
2022-06-20T00:00:00Z,61.724606,25.772593,12.385138,0.110192,0.007471
2022-06-27T00:00:00Z,66.003714,20.996247,12.869432,0.115176,0.01543
2022-07-04T00:00:00Z,61.911722,24.982195,13.003276,0.095376,0.007432
2022-07-11T00:00:00Z,63.45085,23.185683,13.199217,0.157024,0.007227
2022-07-18T00:00:00Z,65.864643,22.728757,11.287817,0.110902,0.007881
2022-07-25T00:00:00Z,60.332837,29.611584,9.896343,0.148365,0.010872
2022-08-01T00:00:00Z,63.708627,27.097336,9.01938,0.16947,0.005188
2022-08-08T00:00:00Z,63.800844,25.034416,11.007411,0.155081,0.002248
2022-08-15T00:00:00Z,65.699184,25.977458,8.261474,0.046666,0.015217
2022-08-22T00:00:00Z,64.484363,26.345975,9.042653,0.120743,0.006265
2022-08-29T00:00:00Z,58.388372,33.105142,8.424272,0.077282,0.004933
2022-09-05T00:00:00Z,59.155827,29.592978,11.098236,0.144268,0.008691
2022-09-12T00:00:00Z,60.36475,29.985535,9.507332,0.13671,0.005673
2022-09-19T00:00:00Z,63.430658,26.087853,10.327402,0.147413,0.006673
2022-09-26T00:00:00Z,63.993958,25.248338,10.546224,0.194562,0.016918
2022-10-03T00:00:00Z,63.323836,27.687843,8.911206,0.072406,0.004709
2022-10-10T00:00:00Z,60.323334,30.762055,8.805166,0.099022,0.010423
2022-10-17T00:00:00Z,65.94267,22.905932,11.069861,0.065345,0.016192
2022-10-24T00:00:00Z,64.218894,25.874424,9.851959,0.043203,0.011521
2022-10-31T00:00:00Z,63.587162,26.523843,9.838309,0.029849,0.020838
2022-11-07T00:00:00Z,64.67024,25.44679,9.804769,0.050859,0.027343
2022-11-14T00:00:00Z,68.153892,23.285099,8.508911,0.033793,0.018305
2022-11-21T00:00:00Z,65.60499,26.505648,7.787004,0.08767,0.014688
2022-11-28T00:00:00Z,65.224643,26.678152,8.04514,0.029631,0.022435
2022-12-05T00:00:00Z,65.643453,25.477686,8.781133,0.072834,0.024893
2022-12-12T00:00:00Z,64.816249,27.413232,7.719207,0.037534,0.013778
2022-12-19T00:00:00Z,66.793678,22.222167,10.902861,0.058851,0.022443
2022-12-26T00:00:00Z,68.405308,23.01032,8.486262,0.064871,0.03324
