Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,58.539044,30.155938,10.937407,0.34587,0.02174
2022-01-03T00:00:00Z,56.4533,33.427696,9.911648,0.198341,0.009016
2022-01-10T00:00:00Z,59.191982,27.269242,13.274062,0.25011,0.014605
2022-01-17T00:00:00Z,63.061106,26.279684,10.405807,0.247973,0.00543
2022-01-24T00:00:00Z,63.435266,23.304995,13.029226,0.228397,0.002115
2022-01-31T00:00:00Z,63.743912,24.165879,11.734026,0.348913,0.007269
2022-02-07T00:00:00Z,62.345965,24.934261,12.44307,0.261236,0.015468
2022-02-14T00:00:00Z,62.662952,23.929416,13.206687,0.192503,0.008443
2022-02-21T00:00:00Z,62.512598,25.515689,11.77014,0.199892,0.00168
2022-02-28T00:00:00Z,61.598913,25.484519,12.700898,0.206807,0.008863
2022-03-07T00:00:00Z,60.948132,23.885279,14.973977,0.181836,0.010775
2022-03-14T00:00:00Z,58.592215,25.354469,15.903298,0.127449,0.022569
2022-03-21T00:00:00Z,64.498295,21.314712,14.090903,0.088192,0.007898
2022-03-28T00:00:00Z,60.969813,20.752727,18.051828,0.221626,0.004005
2022-04-04T00:00:00Z,52.182275,35.669513,11.57585,0.564252,0.00811
2022-04-11T00:00:00Z,61.948005,23.630811,14.23233,0.184835,0.004018
2022-04-18T00:00:00Z,62.06351,25.279987,12.117168,0.532456,0.006879
2022-04-25T00:00:00Z,60.29505,27.612451,11.95677,0.133191,0.002537
2022-05-02T00:00:00Z,60.112733,27.3423,12.133676,0.398689,0.012602
2022-05-09T00:00:00Z,60.967789,26.527537,12.318865,0.180143,0.005665
2022-05-16T00:00:00Z,57.405179,27.126894,15.325024,0.138605,0.004298
2022-05-23T00:00:00Z,61.958312,22.805038,14.964266,0.262008,0.010377
2022-05-30T00:00:00Z,62.409262,23.289861,14.075177,0.219601,0.0061
2022-06-06T00:00:00Z,53.050287,22.582374,24.190241,0.172438,0.00466
2022-06-13T00:00:00Z,56.35948,24.452524,19.011524,0.175287,0.001184
2022-06-20T00:00:00Z,60.105038,24.031641,15.670103,0.182844,0.010374
2022-06-27T00:00:00Z,58.337306,22.138692,19.409097,0.101458,0.013446
2022-07-04T00:00:00Z,46.606412,17.766275,35.466395,0.118007,0.042912
2022-07-11T00:00:00Z,61.0709,19.988015,18.708434,0.225601,0.00705
2022-07-18T00:00:00Z,53.889099,30.180957,15.67887,0.248012,0.003062
2022-07-25T00:00:00Z,58.595138,24.325934,16.932632,0.143974,0.002322
2022-08-01T00:00:00Z,57.64349,25.169882,17.052425,0.111522,0.022682
2022-08-08T00:00:00Z,57.182755,26.916075,15.782145,0.11358,0.005446
2022-08-15T00:00:00Z,58.935847,22.454612,18.474363,0.118281,0.016897
2022-08-22T00:00:00Z,61.873675,22.209364,15.861307,0.053887,0.001767
2022-08-29T00:00:00Z,54.303482,24.386154,21.204654,0.094774,0.010935
2022-09-05T00:00:00Z,62.81464,20.718772,16.253129,0.199292,0.014168
2022-09-12T00:00:00Z,61.890424,22.080108,15.924473,0.103259,0.001735
2022-09-19T00:00:00Z,67.347745,17.524427,14.986078,0.120488,0.021263
2022-09-26T00:00:00Z,65.20526,19.535885,15.135299,0.118647,0.00491
2022-10-03T00:00:00Z,66.629787,18.963079,14.302357,0.095251,0.009525
2022-10-10T00:00:00Z,64.824203,20.215886,14.645598,0.142728,0.171585
2022-10-17T00:00:00Z,62.309849,22.821387,14.770674,0.057219,0.040871
2022-10-24T00:00:00Z,49.044798,28.242549,22.577232,0.076779,0.058642
2022-10-31T00:00:00Z,66.041021,21.083272,12.674702,0.100838,0.100166
2022-11-07T00:00:00Z,67.814443,18.275251,13.7059,0.129815,0.07459
2022-11-14T00:00:00Z,64.517773,20.457777,14.703924,0.198069,0.122457
2022-11-21T00:00:00Z,62.831905,19.673899,17.292931,0.135492,0.065773
2022-11-28T00:00:00Z,66.274615,18.706702,14.772949,0.148113,0.09762
2022-12-05T00:00:00Z,63.065178,20.135997,16.548537,0.154307,0.095981
2022-12-12T00:00:00Z,63.685145,21.495421,14.616853,0.135613,0.066969
2022-12-19T00:00:00Z,64.949247,21.937311,12.763289,0.253958,0.096196
2022-12-26T00:00:00Z,62.229854,25.007548,12.465092,0.254107,0.0434
