Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,58.497774,24.268152,16.885381,0.345132,0.00356
2022-01-03T00:00:00Z,58.588709,24.497248,16.531949,0.376003,0.006091
2022-01-10T00:00:00Z,60.817138,23.506037,15.301752,0.364453,0.01062
2022-01-17T00:00:00Z,62.383096,23.219696,14.027762,0.36293,0.006515
2022-01-24T00:00:00Z,61.277519,23.824404,14.544336,0.337021,0.01672
2022-01-31T00:00:00Z,60.904557,23.887895,14.852554,0.319644,0.03535
2022-02-07T00:00:00Z,60.525783,24.160255,14.943154,0.350667,0.020141
2022-02-14T00:00:00Z,59.568432,24.1412,15.933449,0.351994,0.004925
2022-02-21T00:00:00Z,60.237863,23.515519,15.914254,0.327626,0.004738
2022-02-28T00:00:00Z,59.577848,24.632246,15.445373,0.339884,0.004649
2022-03-07T00:00:00Z,59.89225,24.918375,14.856667,0.328754,0.003954
2022-03-14T00:00:00Z,58.525198,25.666557,15.456987,0.346514,0.004745
2022-03-21T00:00:00Z,57.75895,26.353165,15.529385,0.354091,0.00441
2022-03-28T00:00:00Z,57.332419,26.289248,15.976905,0.378511,0.022918
2022-04-04T00:00:00Z,57.408608,26.646056,15.593346,0.34811,0.003881
2022-04-11T00:00:00Z,58.229766,26.393262,15.050344,0.323195,0.003432
2022-04-18T00:00:00Z,57.951554,26.511506,15.170894,0.35429,0.011755
2022-04-25T00:00:00Z,58.455722,26.103641,15.092302,0.34472,0.003616
2022-05-02T00:00:00Z,58.254814,25.686278,15.658236,0.380835,0.019836
2022-05-09T00:00:00Z,57.655949,26.828032,15.035184,0.476861,0.003975
2022-05-16T00:00:00Z,57.480857,27.382738,14.754122,0.375769,0.006515
2022-05-23T00:00:00Z,57.892303,26.852221,14.803567,0.447846,0.004062
2022-05-30T00:00:00Z,57.476981,27.251472,14.95819,0.305436,0.007921
2022-06-06T00:00:00Z,57.354154,27.627712,14.700729,0.312691,0.004714
2022-06-13T00:00:00Z,58.718917,27.022857,13.958599,0.296542,0.003085
2022-06-20T00:00:00Z,58.802195,27.467086,13.396967,0.329881,0.00387
2022-06-27T00:00:00Z,57.617681,28.424918,13.688579,0.265397,0.003425
2022-07-04T00:00:00Z,57.012651,28.652246,14.029668,0.300825,0.00461
2022-07-11T00:00:00Z,56.148552,29.686321,13.898866,0.263963,0.002299
2022-07-18T00:00:00Z,55.276411,30.38193,14.078149,0.261658,0.001853
2022-07-25T00:00:00Z,56.544881,29.239966,13.926903,0.284767,0.003483
2022-08-01T00:00:00Z,56.23791,29.996848,13.511246,0.250562,0.003433
2022-08-08T00:00:00Z,54.603147,31.845077,13.25109,0.296486,0.0042
2022-08-15T00:00:00Z,55.427956,30.575791,13.73811,0.252566,0.005577
2022-08-22T00:00:00Z,56.082116,30.395963,13.252353,0.266367,0.0032
2022-08-29T00:00:00Z,55.980679,29.806862,13.971003,0.237053,0.004403
2022-09-05T00:00:00Z,56.360377,30.438137,12.966796,0.231374,0.003316
2022-09-12T00:00:00Z,55.997875,30.503308,13.232444,0.262107,0.004266
2022-09-19T00:00:00Z,55.83037,30.390881,13.575202,0.198212,0.005336
2022-09-26T00:00:00Z,55.303029,31.336265,13.148993,0.202082,0.00963
2022-10-03T00:00:00Z,54.500512,31.783342,13.515681,0.195915,0.00455
2022-10-10T00:00:00Z,55.192459,31.067891,13.552321,0.18223,0.005099
2022-10-17T00:00:00Z,54.499866,32.19945,13.144684,0.152805,0.003195
2022-10-24T00:00:00Z,55.401901,31.141872,13.244018,0.206811,0.005398
2022-10-31T00:00:00Z,55.932336,30.727396,13.111454,0.224791,0.004023
2022-11-07T00:00:00Z,55.612463,31.03527,13.063173,0.283328,0.005766
2022-11-14T00:00:00Z,56.364652,31.049773,12.38784,0.194397,0.003337
2022-11-21T00:00:00Z,54.400419,33.255675,12.207216,0.131065,0.005624
2022-11-28T00:00:00Z,51.464244,33.413037,14.945282,0.171133,0.006304
2022-12-05T00:00:00Z,51.657345,33.453238,14.726868,0.15594,0.006609
2022-12-12T00:00:00Z,53.068126,33.615587,13.176378,0.133747,0.006162
2022-12-19T00:00:00Z,52.876344,33.836265,13.141579,0.139757,0.006056
2022-12-26T00:00:00Z,53.126174,33.761149,12.979455,0.126172,0.00705
