Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,52.522669,36.216607,11.090476,0.167468,0.002781
2022-01-03T00:00:00Z,52.848282,35.999179,10.934199,0.213379,0.004962
2022-01-10T00:00:00Z,54.258531,35.291763,10.246442,0.198698,0.004566
2022-01-17T00:00:00Z,55.087413,34.421821,10.27694,0.209734,0.004092
2022-01-24T00:00:00Z,54.21351,34.631709,10.924324,0.227104,0.003353
2022-01-31T00:00:00Z,54.198625,34.214303,11.383741,0.199533,0.003798
2022-02-07T00:00:00Z,54.29087,34.05403,11.461679,0.190228,0.003193
2022-02-14T00:00:00Z,55.144198,33.684917,10.966043,0.202447,0.002396
2022-02-21T00:00:00Z,55.660086,33.121677,11.032573,0.183015,0.002649
2022-02-28T00:00:00Z,55.287263,32.78043,11.7527,0.178023,0.001584
2022-03-07T00:00:00Z,54.64203,33.177366,11.978649,0.199145,0.002811
2022-03-14T00:00:00Z,54.436104,32.569907,12.860661,0.132273,0.001056
2022-03-21T00:00:00Z,54.709581,31.735075,13.41783,0.134178,0.003337
2022-03-28T00:00:00Z,55.035355,31.292483,13.5237,0.145232,0.003231
2022-04-04T00:00:00Z,55.671531,30.085886,14.104556,0.130412,0.007615
2022-04-11T00:00:00Z,55.285707,29.562523,15.00786,0.142013,0.001897
2022-04-18T00:00:00Z,54.999515,30.670511,14.176358,0.149352,0.004264
2022-04-25T00:00:00Z,55.884447,30.787253,13.193983,0.132728,0.001589
2022-05-02T00:00:00Z,55.822784,31.54052,12.479623,0.155601,0.001471
2022-05-09T00:00:00Z,54.802853,32.794346,12.246767,0.153509,0.002525
2022-05-16T00:00:00Z,54.457966,32.231286,13.194809,0.110447,0.005491
2022-05-23T00:00:00Z,55.966545,30.636275,13.258512,0.136242,0.002427
2022-05-30T00:00:00Z,56.500633,31.240092,12.154622,0.102858,0.001795
2022-06-06T00:00:00Z,55.984536,32.220103,11.617027,0.176874,0.00146
2022-06-13T00:00:00Z,56.673437,30.853285,12.336096,0.135507,0.001675
2022-06-20T00:00:00Z,56.812696,30.211746,12.852579,0.121736,0.001243
2022-06-27T00:00:00Z,56.695185,29.880858,13.309843,0.110058,0.004056
2022-07-04T00:00:00Z,56.317386,30.819418,12.696765,0.162082,0.004349
2022-07-11T00:00:00Z,55.49108,31.306973,13.091297,0.107603,0.003047
2022-07-18T00:00:00Z,55.803563,31.433948,12.650281,0.105451,0.006758
2022-07-25T00:00:00Z,55.02259,31.498844,13.366507,0.109132,0.002927
2022-08-01T00:00:00Z,54.619631,31.273594,14.003806,0.099136,0.003832
2022-08-08T00:00:00Z,56.011706,30.399937,13.451443,0.134013,0.0029
2022-08-15T00:00:00Z,57.772922,28.838887,13.271922,0.106484,0.009786
2022-08-22T00:00:00Z,58.871657,27.123839,13.891951,0.109183,0.00337
2022-08-29T00:00:00Z,57.85644,28.980799,13.066262,0.094022,0.002477
2022-09-05T00:00:00Z,58.845966,27.465831,13.557426,0.128168,0.00261
2022-09-12T00:00:00Z,59.981949,26.424508,13.500865,0.09074,0.001938
2022-09-19T00:00:00Z,61.792507,25.159384,12.942719,0.103555,0.001836
2022-09-26T00:00:00Z,60.367713,26.03376,13.482995,0.112416,0.003116
2022-10-03T00:00:00Z,61.469284,24.948339,13.482252,0.095461,0.004664
2022-10-10T00:00:00Z,60.214049,25.881775,13.798407,0.101441,0.004328
2022-10-17T00:00:00Z,61.198149,25.434167,13.256513,0.10664,0.004531
2022-10-24T00:00:00Z,61.872379,25.278493,12.764566,0.07616,0.008402
2022-10-31T00:00:00Z,61.375306,26.101881,12.405234,0.109078,0.008501
2022-11-07T00:00:00Z,61.768871,24.942451,13.178026,0.100978,0.009673
2022-11-14T00:00:00Z,62.90347,23.921672,13.058858,0.108447,0.007553
2022-11-21T00:00:00Z,62.058306,21.994761,15.837251,0.103996,0.005686
2022-11-28T00:00:00Z,61.350484,23.258887,15.261456,0.122043,0.007128
2022-12-05T00:00:00Z,62.453045,22.476586,14.946784,0.116737,0.006847
2022-12-12T00:00:00Z,62.605411,22.798377,14.487644,0.103866,0.004702
2022-12-19T00:00:00Z,61.634599,24.184913,14.058774,0.117497,0.004216
2022-12-26T00:00:00Z,61.31538,24.436147,14.111848,0.131645,0.00498
