Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,69.195763,16.032903,14.437499,0.330248,0.003587
2022-01-03T00:00:00Z,69.603775,16.118526,13.983788,0.289608,0.004302
2022-01-10T00:00:00Z,67.717871,18.208369,13.808416,0.261601,0.003743
2022-01-17T00:00:00Z,67.24823,18.412926,14.032108,0.304217,0.002519
2022-01-24T00:00:00Z,66.215743,19.603253,13.874813,0.302881,0.00331
2022-01-31T00:00:00Z,67.738941,18.158195,13.845605,0.254794,0.002464
2022-02-07T00:00:00Z,68.803353,17.485731,13.44138,0.267361,0.002175
2022-02-14T00:00:00Z,68.65159,17.630933,13.489838,0.223196,0.004442
2022-02-21T00:00:00Z,69.126032,17.617397,12.95116,0.302318,0.003093
2022-02-28T00:00:00Z,70.258764,16.800011,12.672719,0.266199,0.002307
2022-03-07T00:00:00Z,70.370938,16.996435,12.37908,0.250964,0.002583
2022-03-14T00:00:00Z,70.789141,16.537147,12.397822,0.271874,0.004016
2022-03-21T00:00:00Z,70.236692,17.091084,12.455575,0.214639,0.00201
2022-03-28T00:00:00Z,69.697252,16.035524,13.957058,0.305109,0.005056
2022-04-04T00:00:00Z,66.992843,19.563676,13.073044,0.368724,0.001713
2022-04-11T00:00:00Z,65.071666,20.405234,14.204517,0.31546,0.003124
2022-04-18T00:00:00Z,67.446183,19.303622,12.991664,0.25315,0.005381
2022-04-25T00:00:00Z,68.867877,18.126949,12.721449,0.281157,0.002568
2022-05-02T00:00:00Z,68.807482,17.937902,12.947985,0.303185,0.003446
2022-05-09T00:00:00Z,68.976037,17.993791,12.686398,0.340081,0.003693
2022-05-16T00:00:00Z,68.769346,18.031568,12.953565,0.242879,0.002642
2022-05-23T00:00:00Z,67.632742,17.745686,14.308827,0.310162,0.002582
2022-05-30T00:00:00Z,65.044489,18.035443,16.647747,0.269666,0.002655
2022-06-06T00:00:00Z,66.393103,19.0266,14.257726,0.320665,0.001907
2022-06-13T00:00:00Z,67.053565,19.32262,13.368669,0.252637,0.002508
2022-06-20T00:00:00Z,66.170708,19.988448,13.637699,0.200755,0.002389
2022-06-27T00:00:00Z,64.480897,22.529704,12.700883,0.285644,0.002872
2022-07-04T00:00:00Z,64.704063,20.903431,14.154851,0.235653,0.002001
2022-07-11T00:00:00Z,64.999333,21.367338,13.405458,0.225277,0.002594
2022-07-18T00:00:00Z,66.341333,21.074568,12.354714,0.223686,0.005699
2022-07-25T00:00:00Z,65.625641,21.624789,12.538694,0.208438,0.002438
2022-08-01T00:00:00Z,65.730658,22.373897,11.697542,0.196246,0.001658
2022-08-08T00:00:00Z,65.277774,22.942627,11.571304,0.205793,0.002502
2022-08-15T00:00:00Z,65.054953,23.067355,11.683045,0.192039,0.002608
2022-08-22T00:00:00Z,65.20675,22.594452,11.969244,0.227709,0.001845
2022-08-29T00:00:00Z,65.412283,21.800272,12.307874,0.477852,0.001719
2022-09-05T00:00:00Z,64.733441,23.506061,11.272707,0.485488,0.002303
2022-09-12T00:00:00Z,65.828836,22.480712,11.264014,0.423584,0.002853
2022-09-19T00:00:00Z,65.109024,23.446415,11.070691,0.369351,0.00452
2022-09-26T00:00:00Z,66.53084,22.18853,11.074236,0.204914,0.00148
2022-10-03T00:00:00Z,65.56784,22.628789,11.565597,0.23591,0.001865
2022-10-10T00:00:00Z,67.705141,20.647526,11.309068,0.336262,0.002003
2022-10-17T00:00:00Z,67.812497,21.192599,10.690533,0.30222,0.002152
2022-10-24T00:00:00Z,68.854826,20.58389,10.070166,0.486823,0.004295
2022-10-31T00:00:00Z,68.603381,21.282203,9.540809,0.567981,0.005625
2022-11-07T00:00:00Z,68.479049,21.329774,9.600564,0.588717,0.001896
2022-11-14T00:00:00Z,67.913284,21.219933,10.206924,0.657803,0.002057
2022-11-21T00:00:00Z,68.780741,21.040999,10.008582,0.167225,0.002453
2022-11-28T00:00:00Z,66.838679,22.085488,10.854047,0.220446,0.00134
2022-12-05T00:00:00Z,66.931858,22.041898,10.76799,0.256021,0.002234
2022-12-12T00:00:00Z,69.023191,21.48213,9.182615,0.310299,0.001765
2022-12-19T00:00:00Z,69.492291,20.467758,9.771638,0.265294,0.003018
2022-12-26T00:00:00Z,69.458217,20.728462,9.662116,0.148411,0.002793
