Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,53.977223,27.306716,18.458896,0.243607,0.013559
2022-01-03T00:00:00Z,55.558291,26.211863,17.940403,0.281542,0.007901
2022-01-10T00:00:00Z,63.457095,21.662986,14.647747,0.224979,0.007194
2022-01-17T00:00:00Z,68.283763,19.075561,12.403562,0.230602,0.006512
2022-01-24T00:00:00Z,67.71258,19.991041,12.076888,0.214912,0.004578
2022-01-31T00:00:00Z,65.951374,21.28702,12.544558,0.210367,0.00668
2022-02-07T00:00:00Z,66.524597,20.46086,12.794446,0.215871,0.004226
2022-02-14T00:00:00Z,60.206776,25.930594,13.644152,0.212704,0.005774
2022-02-21T00:00:00Z,59.708588,26.713072,13.363571,0.208921,0.005848
2022-02-28T00:00:00Z,60.058736,26.278253,13.434503,0.222295,0.006213
2022-03-07T00:00:00Z,60.260594,25.985789,13.527205,0.221767,0.004645
2022-03-14T00:00:00Z,55.862239,28.410865,15.448924,0.275127,0.002845
2022-03-21T00:00:00Z,51.94667,31.850729,15.898315,0.302472,0.001813
2022-03-28T00:00:00Z,49.547826,33.247457,16.888081,0.306421,0.010214
2022-04-04T00:00:00Z,50.283445,32.627554,16.741397,0.342404,0.0052
2022-04-11T00:00:00Z,50.211655,33.574472,15.924793,0.286717,0.002362
2022-04-18T00:00:00Z,48.416136,33.720248,17.623804,0.233348,0.006463
2022-04-25T00:00:00Z,48.38791,34.06218,17.320331,0.226018,0.003561
2022-05-02T00:00:00Z,49.174563,32.441619,18.125069,0.252237,0.006512
2022-05-09T00:00:00Z,48.345934,33.873709,17.472268,0.305565,0.002525
2022-05-16T00:00:00Z,47.233033,36.039825,16.468054,0.255964,0.003124
2022-05-23T00:00:00Z,50.697195,33.391061,15.68401,0.224835,0.002899
2022-05-30T00:00:00Z,50.258462,35.469651,14.030851,0.230227,0.010809
2022-06-06T00:00:00Z,50.964766,34.295743,14.552787,0.183359,0.003345
2022-06-13T00:00:00Z,50.511462,35.257578,13.98892,0.237583,0.004457
2022-06-20T00:00:00Z,50.305032,35.770724,13.700449,0.220717,0.003079
2022-06-27T00:00:00Z,50.15365,36.123441,13.545704,0.171463,0.005742
2022-07-04T00:00:00Z,50.449854,35.860374,13.511462,0.17021,0.008099
2022-07-11T00:00:00Z,49.503859,35.201765,15.06142,0.230344,0.002613
2022-07-18T00:00:00Z,49.637486,36.573365,13.603462,0.176678,0.009008
2022-07-25T00:00:00Z,49.856167,36.589149,13.359806,0.183913,0.010965
2022-08-01T00:00:00Z,46.672005,39.691859,13.472359,0.144286,0.019491
2022-08-08T00:00:00Z,49.075362,37.414527,13.320631,0.179315,0.010164
2022-08-15T00:00:00Z,49.779791,36.628135,13.440498,0.14133,0.010246
2022-08-22T00:00:00Z,50.041281,37.143716,12.580538,0.223726,0.010738
2022-08-29T00:00:00Z,46.952919,39.848964,13.048385,0.147072,0.00266
2022-09-05T00:00:00Z,49.02713,37.840122,12.993243,0.133314,0.006191
2022-09-12T00:00:00Z,48.833143,37.704177,13.354301,0.09842,0.00996
2022-09-19T00:00:00Z,50.496333,35.997925,13.380454,0.119097,0.006191
2022-09-26T00:00:00Z,51.390551,35.711845,12.750175,0.133929,0.013501
2022-10-03T00:00:00Z,50.797114,36.460251,12.639133,0.095076,0.008426
2022-10-10T00:00:00Z,50.821269,36.908138,12.113124,0.113319,0.044151
2022-10-17T00:00:00Z,52.067534,34.946635,12.834211,0.108515,0.043105
2022-10-24T00:00:00Z,53.873299,32.447969,13.549345,0.10793,0.021457
2022-10-31T00:00:00Z,53.975119,33.19963,12.677036,0.109942,0.038272
2022-11-07T00:00:00Z,52.800311,34.010106,13.041655,0.113328,0.034599
2022-11-14T00:00:00Z,50.631959,36.39677,12.817877,0.121317,0.032077
2022-11-21T00:00:00Z,45.0231,44.986608,9.904307,0.053665,0.03232
2022-11-28T00:00:00Z,47.68365,40.877046,11.279763,0.096927,0.062614
2022-12-05T00:00:00Z,52.034155,36.754909,10.838622,0.309612,0.062703
2022-12-12T00:00:00Z,47.252125,40.488979,11.996262,0.194943,0.067692
2022-12-19T00:00:00Z,48.947456,35.489416,14.168744,1.32198,0.072405
2022-12-26T00:00:00Z,48.970823,37.658324,12.803085,0.481291,0.086477
