Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,82.249561,9.90041,7.850029,0.0,0.0
2022-01-03T00:00:00Z,75.330739,20.311284,4.357977,0.0,0.0
2022-01-10T00:00:00Z,58.50567,33.488993,8.005337,0.0,0.0
2022-01-17T00:00:00Z,69.28839,12.796504,17.915106,0.0,0.0
2022-01-24T00:00:00Z,87.072243,6.463878,6.463878,0.0,0.0
2022-01-31T00:00:00Z,85.345912,6.666667,7.987421,0.0,0.0
2022-02-07T00:00:00Z,77.710843,10.327022,10.929432,1.032702,0.0
2022-02-14T00:00:00Z,75.623664,15.965788,8.339273,0.071276,0.0
2022-02-21T00:00:00Z,75.991189,9.636564,14.372247,0.0,0.0
2022-02-28T00:00:00Z,82.152975,10.708215,7.13881,0.0,0.0
2022-03-07T00:00:00Z,81.779359,13.380783,4.839858,0.0,0.0
2022-03-14T00:00:00Z,68.872321,9.506058,21.621622,0.0,0.0
2022-03-21T00:00:00Z,79.805014,9.749304,10.445682,0.0,0.0
2022-03-28T00:00:00Z,81.547619,7.005495,11.446886,0.0,0.0
2022-04-04T00:00:00Z,45.20649,47.19764,7.59587,0.0,0.0
2022-04-11T00:00:00Z,82.796232,11.105602,6.098166,0.0,0.0
2022-04-18T00:00:00Z,56.343793,25.306958,18.34925,0.0,0.0
2022-04-25T00:00:00Z,65.923567,13.269639,20.806794,0.0,0.0
2022-05-02T00:00:00Z,76.360809,9.097978,14.385692,0.0,0.155521
2022-05-09T00:00:00Z,83.274232,9.63357,7.092199,0.0,0.0
2022-05-16T00:00:00Z,72.805043,13.507429,13.687528,0.0,0.0
2022-05-23T00:00:00Z,77.159686,9.554974,13.28534,0.0,0.0
2022-05-30T00:00:00Z,70.855615,17.647059,11.4082,0.089127,0.0
2022-06-06T00:00:00Z,80.228471,10.369069,9.40246,0.0,0.0
2022-06-13T00:00:00Z,63.817664,18.803419,17.378917,0.0,0.0
2022-06-20T00:00:00Z,76.255708,15.981735,7.762557,0.0,0.0
2022-06-27T00:00:00Z,75.2202,10.980622,13.799178,0.0,0.0
2022-07-04T00:00:00Z,81.912817,5.465192,12.621991,0.0,0.0
2022-07-11T00:00:00Z,81.146694,7.618802,11.157025,0.0,0.077479
2022-07-18T00:00:00Z,78.530534,5.248092,16.221374,0.0,0.0
2022-07-25T00:00:00Z,65.637693,9.15922,25.203087,0.0,0.0
2022-08-01T00:00:00Z,69.477659,14.285714,16.236627,0.0,0.0
2022-08-08T00:00:00Z,71.330117,8.407994,20.261888,0.0,0.0
2022-08-15T00:00:00Z,57.98005,26.371571,15.648379,0.0,0.0
2022-08-22T00:00:00Z,68.414918,12.820513,18.764569,0.0,0.0
2022-08-29T00:00:00Z,65.276558,7.287094,27.436348,0.0,0.0
2022-09-05T00:00:00Z,72.194305,10.050251,17.755444,0.0,0.0
2022-09-12T00:00:00Z,93.861193,1.994135,4.144673,0.0,0.0
2022-09-19T00:00:00Z,85.045045,6.246246,8.708709,0.0,0.0
2022-09-26T00:00:00Z,82.393056,3.16181,13.391197,1.053937,0.0
2022-10-03T00:00:00Z,87.47785,5.552274,6.969876,0.0,0.0
2022-10-10T00:00:00Z,83.214482,3.017005,13.768513,0.0,0.0
2022-10-17T00:00:00Z,17.793808,30.778479,51.427713,0.0,0.0
2022-10-24T00:00:00Z,86.959877,4.128086,8.912037,0.0,0.0
2022-10-31T00:00:00Z,84.223602,7.329193,8.447205,0.0,0.0
2022-11-07T00:00:00Z,85.057471,3.085299,11.857229,0.0,0.0
2022-11-14T00:00:00Z,74.368849,11.638853,13.992298,0.0,0.0
2022-11-21T00:00:00Z,85.207101,4.369595,10.423305,0.0,0.0
2022-11-28T00:00:00Z,84.14496,1.698754,14.156285,0.0,0.0
2022-12-05T00:00:00Z,80.968007,8.777687,10.090238,0.0,0.164069
2022-12-12T00:00:00Z,83.578792,5.081001,11.266568,0.0,0.073638
2022-12-19T00:00:00Z,82.76644,8.446712,8.560091,0.226757,0.0
2022-12-26T00:00:00Z,80.515192,4.359313,15.059445,0.06605,0.0
