Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,54.833817,22.517216,22.238398,0.404621,0.005948
2022-01-03T00:00:00Z,54.694545,24.070519,20.827945,0.396281,0.01071
2022-01-10T00:00:00Z,54.302526,24.393509,20.831542,0.464957,0.007466
2022-01-17T00:00:00Z,54.532576,24.203529,20.866749,0.395455,0.001691
2022-01-24T00:00:00Z,54.592735,24.097405,20.939708,0.362459,0.007692
2022-01-31T00:00:00Z,53.227577,28.227636,18.219089,0.314508,0.01119
2022-02-07T00:00:00Z,53.50309,24.728771,21.352204,0.411103,0.004832
2022-02-14T00:00:00Z,54.279547,24.259363,21.156344,0.286758,0.017989
2022-02-21T00:00:00Z,56.025992,22.769018,20.677147,0.37079,0.157053
2022-02-28T00:00:00Z,55.567863,24.361517,19.621816,0.316709,0.132095
2022-03-07T00:00:00Z,48.341556,22.179342,29.151386,0.314705,0.01301
2022-03-14T00:00:00Z,54.494974,25.035517,20.198487,0.24378,0.027242
2022-03-21T00:00:00Z,51.39194,21.631198,26.656496,0.319476,0.00089
2022-03-28T00:00:00Z,50.802316,25.889906,23.01892,0.272072,0.016786
2022-04-04T00:00:00Z,52.693699,26.888187,20.04289,0.321149,0.054074
2022-04-11T00:00:00Z,50.400909,29.349954,19.893568,0.331112,0.024457
2022-04-18T00:00:00Z,47.14384,23.923977,28.627111,0.236579,0.068492
2022-04-25T00:00:00Z,45.064668,24.484299,30.171721,0.224779,0.054532
2022-05-02T00:00:00Z,50.013624,22.865033,26.917446,0.199278,0.004618
2022-05-09T00:00:00Z,53.428578,27.872268,18.489389,0.20364,0.006125
2022-05-16T00:00:00Z,52.741926,28.368058,18.628072,0.244585,0.017359
2022-05-23T00:00:00Z,53.116473,28.020446,18.540769,0.212939,0.109374
2022-05-30T00:00:00Z,54.7578,27.771393,17.127022,0.250656,0.09313
2022-06-06T00:00:00Z,53.807827,26.244602,19.406196,0.42768,0.113695
2022-06-13T00:00:00Z,46.211744,26.119063,27.27769,0.297762,0.09374
2022-06-20T00:00:00Z,50.444265,28.120761,21.110579,0.233574,0.090821
2022-06-27T00:00:00Z,43.409885,25.356134,31.022369,0.178561,0.033051
2022-07-04T00:00:00Z,41.157281,26.147288,32.399076,0.15293,0.143426
2022-07-11T00:00:00Z,41.567126,25.311876,32.797586,0.154146,0.169266
2022-07-18T00:00:00Z,41.303876,25.142376,33.150485,0.208634,0.19463
2022-07-25T00:00:00Z,50.053859,30.240989,19.405483,0.192454,0.107215
2022-08-01T00:00:00Z,46.606848,32.646462,20.441058,0.245887,0.059744
2022-08-08T00:00:00Z,46.952883,30.420946,22.245948,0.143591,0.236631
2022-08-15T00:00:00Z,42.665609,28.384557,28.77751,0.133347,0.038978
2022-08-22T00:00:00Z,49.668468,34.034841,16.114854,0.16838,0.013457
2022-08-29T00:00:00Z,47.76923,35.96391,16.079043,0.186543,0.001274
2022-09-05T00:00:00Z,48.309139,35.552613,15.951722,0.18395,0.002576
2022-09-12T00:00:00Z,49.177331,31.717172,18.911377,0.192075,0.002046
2022-09-19T00:00:00Z,50.623656,30.417439,18.728984,0.224098,0.005824
2022-09-26T00:00:00Z,55.096329,27.576689,17.217546,0.095655,0.013781
2022-10-03T00:00:00Z,54.808462,29.291234,15.75994,0.120268,0.020097
2022-10-10T00:00:00Z,58.328413,24.857791,16.631899,0.18049,0.001406
2022-10-17T00:00:00Z,56.799335,26.834488,16.273047,0.088778,0.004352
2022-10-24T00:00:00Z,50.884904,25.413437,23.623704,0.075567,0.002387
2022-10-31T00:00:00Z,53.480804,24.754818,21.674876,0.081914,0.007588
2022-11-07T00:00:00Z,52.750074,24.652159,22.453647,0.126938,0.017183
2022-11-14T00:00:00Z,55.272927,27.002677,17.634044,0.083453,0.006899
2022-11-21T00:00:00Z,59.788037,24.365574,15.746271,0.095201,0.004918
2022-11-28T00:00:00Z,49.493963,23.460589,26.920386,0.098083,0.026978
2022-12-05T00:00:00Z,52.180477,22.420612,25.239187,0.109577,0.050147
2022-12-12T00:00:00Z,54.154141,26.485252,19.186962,0.157196,0.01645
2022-12-19T00:00:00Z,52.782914,27.378944,19.632852,0.17291,0.03238
2022-12-26T00:00:00Z,55.689992,23.775214,20.391722,0.1054,0.037671
