Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,63.189967,23.902676,12.459154,0.439371,0.008832
2022-01-03T00:00:00Z,65.426093,22.479353,11.485997,0.606487,0.00207
2022-01-10T00:00:00Z,66.66916,21.99742,10.81172,0.5217,0.0
2022-01-17T00:00:00Z,64.261605,23.195683,11.896825,0.633386,0.012501
2022-01-24T00:00:00Z,67.071613,20.626259,11.459754,0.842374,0.0
2022-01-31T00:00:00Z,68.346127,19.787342,10.95598,0.908592,0.001958
2022-02-07T00:00:00Z,65.381904,23.866862,10.14918,0.596338,0.005716
2022-02-14T00:00:00Z,65.366573,21.391234,12.958814,0.283378,0.0
2022-02-21T00:00:00Z,64.893422,24.481362,10.262831,0.362385,0.0
2022-02-28T00:00:00Z,65.257311,23.820183,10.566022,0.356484,0.0
2022-03-07T00:00:00Z,66.941259,21.84633,10.75773,0.452557,0.002124
2022-03-14T00:00:00Z,66.870976,22.31509,10.465164,0.346706,0.002064
2022-03-21T00:00:00Z,68.203621,22.066267,9.506863,0.221038,0.00221
2022-03-28T00:00:00Z,69.577931,22.700165,7.398715,0.319341,0.003847
2022-04-04T00:00:00Z,65.870356,25.308976,8.59907,0.221598,0.0
2022-04-11T00:00:00Z,65.194668,23.818192,10.673948,0.313191,0.0
2022-04-18T00:00:00Z,62.851265,23.297675,13.507509,0.337379,0.006172
2022-04-25T00:00:00Z,67.745534,23.444329,8.473677,0.318174,0.018286
2022-05-02T00:00:00Z,69.420563,21.263725,8.943596,0.372115,0.0
2022-05-09T00:00:00Z,68.069804,20.445168,11.02699,0.45236,0.005678
2022-05-16T00:00:00Z,68.287153,20.116444,11.427309,0.169094,0.0
2022-05-23T00:00:00Z,68.179884,20.335205,11.132278,0.34858,0.004053
2022-05-30T00:00:00Z,68.792045,23.209971,7.72333,0.274654,0.0
2022-06-06T00:00:00Z,66.362031,21.925995,11.481072,0.227021,0.003881
2022-06-13T00:00:00Z,67.94599,22.570196,9.400953,0.082861,0.0
2022-06-20T00:00:00Z,65.35884,23.538923,10.995091,0.107146,0.0
2022-06-27T00:00:00Z,63.36161,26.565445,9.954102,0.106549,0.012294
2022-07-04T00:00:00Z,70.136996,21.76827,8.018336,0.076398,0.0
2022-07-11T00:00:00Z,63.546752,23.655652,12.645513,0.148329,0.003755
2022-07-18T00:00:00Z,61.803415,28.915896,8.761218,0.513655,0.005815
2022-07-25T00:00:00Z,63.292526,24.254202,12.066001,0.381251,0.00602
2022-08-01T00:00:00Z,63.232903,24.847368,11.787869,0.131859,0.0
2022-08-08T00:00:00Z,64.350589,25.202697,10.300538,0.146176,0.0
2022-08-15T00:00:00Z,64.37806,26.114066,9.402191,0.105682,0.0
2022-08-22T00:00:00Z,59.061648,31.865344,8.908285,0.164723,0.0
2022-08-29T00:00:00Z,60.551523,29.864053,9.488634,0.090263,0.005526
2022-09-05T00:00:00Z,62.334424,27.910514,9.434963,0.320099,0.0
2022-09-12T00:00:00Z,68.364525,25.387729,6.160916,0.08683,0.0
2022-09-19T00:00:00Z,55.148638,25.887938,18.876265,0.084047,0.003113
2022-09-26T00:00:00Z,58.660844,30.326818,10.918763,0.091842,0.001733
2022-10-03T00:00:00Z,65.547054,22.039683,12.146956,0.25693,0.009377
2022-10-10T00:00:00Z,66.872373,23.257487,9.786847,0.083292,0.0
2022-10-17T00:00:00Z,61.619141,20.964562,17.268829,0.147468,0.0
2022-10-24T00:00:00Z,60.017632,31.109188,8.726246,0.146934,0.0
2022-10-31T00:00:00Z,65.270335,25.998869,8.602775,0.122067,0.005955
2022-11-07T00:00:00Z,63.69705,26.04983,10.127858,0.108458,0.016803
2022-11-14T00:00:00Z,67.399619,22.906827,9.619226,0.068134,0.006194
2022-11-21T00:00:00Z,62.045256,27.634704,10.137205,0.160958,0.021878
2022-11-28T00:00:00Z,63.037775,25.535417,11.387369,0.024006,0.015432
2022-12-05T00:00:00Z,59.532338,29.432244,10.940011,0.080343,0.015064
2022-12-12T00:00:00Z,63.568494,28.100678,8.25066,0.045095,0.035074
2022-12-19T00:00:00Z,64.211613,24.814122,10.848306,0.09447,0.03149
2022-12-26T00:00:00Z,64.236784,23.999198,11.663771,0.071844,0.028403
