Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,59.106384,22.57548,17.995884,0.297554,0.024698
2022-01-03T00:00:00Z,59.606866,22.983387,17.087352,0.294513,0.027882
2022-01-10T00:00:00Z,66.114047,19.350208,14.22801,0.275236,0.032499
2022-01-17T00:00:00Z,71.92723,16.409279,11.40897,0.230784,0.023737
2022-01-24T00:00:00Z,71.440954,17.104474,10.995478,0.354521,0.104573
2022-01-31T00:00:00Z,70.123982,17.537984,11.436493,0.636545,0.264995
2022-02-07T00:00:00Z,69.978263,18.421425,11.214358,0.316598,0.069355
2022-02-14T00:00:00Z,69.881102,17.912443,11.965027,0.225384,0.016045
2022-02-21T00:00:00Z,70.500029,17.383155,11.878139,0.222085,0.016592
2022-02-28T00:00:00Z,68.148463,19.887214,11.714622,0.232126,0.017576
2022-03-07T00:00:00Z,63.443505,23.025709,13.233423,0.272914,0.024449
2022-03-14T00:00:00Z,58.91121,25.906714,14.852678,0.307615,0.021782
2022-03-21T00:00:00Z,58.464849,26.677678,14.532531,0.304239,0.020703
2022-03-28T00:00:00Z,58.128977,26.718958,14.811002,0.326484,0.014579
2022-04-04T00:00:00Z,57.585198,27.302754,14.75573,0.343454,0.012864
2022-04-11T00:00:00Z,58.712348,26.100751,14.858649,0.314848,0.013404
2022-04-18T00:00:00Z,58.151624,26.973063,14.546721,0.319398,0.009193
2022-04-25T00:00:00Z,57.580948,27.465687,14.626517,0.318365,0.008483
2022-05-02T00:00:00Z,57.216496,27.382678,15.022286,0.364275,0.014265
2022-05-09T00:00:00Z,55.862219,28.431989,15.373561,0.321795,0.010436
2022-05-16T00:00:00Z,54.771896,29.447225,15.447441,0.307912,0.025526
2022-05-23T00:00:00Z,55.036691,28.940423,15.64109,0.340482,0.041314
2022-05-30T00:00:00Z,55.609985,28.741154,15.329839,0.302305,0.016716
2022-06-06T00:00:00Z,55.807659,28.540911,15.313024,0.320932,0.017473
2022-06-13T00:00:00Z,55.15946,29.332462,15.196535,0.295356,0.016185
2022-06-20T00:00:00Z,55.784647,29.48833,14.444272,0.270109,0.012642
2022-06-27T00:00:00Z,55.719749,29.746763,14.24226,0.269093,0.022134
2022-07-04T00:00:00Z,55.275092,29.81856,14.61615,0.286679,0.003519
2022-07-11T00:00:00Z,55.511557,29.495286,14.701635,0.288141,0.00338
2022-07-18T00:00:00Z,55.96954,29.154887,14.617834,0.254092,0.003647
2022-07-25T00:00:00Z,56.811804,28.995299,13.910817,0.278087,0.003994
2022-08-01T00:00:00Z,56.227623,29.876849,13.641733,0.249646,0.004149
2022-08-08T00:00:00Z,56.709739,29.599327,13.407138,0.27931,0.004486
2022-08-15T00:00:00Z,55.47282,31.304017,12.957958,0.255299,0.009906
2022-08-22T00:00:00Z,54.94304,31.27172,13.501576,0.269443,0.014222
2022-08-29T00:00:00Z,55.339577,31.431431,12.956866,0.264504,0.007623
2022-09-05T00:00:00Z,54.613949,31.794184,13.333071,0.250378,0.008419
2022-09-12T00:00:00Z,55.533266,31.67957,12.51984,0.257309,0.010015
2022-09-19T00:00:00Z,56.259675,30.679017,12.785338,0.2597,0.01627
2022-09-26T00:00:00Z,56.678792,30.436814,12.583885,0.271606,0.028903
2022-10-03T00:00:00Z,56.738801,30.417547,12.558417,0.261051,0.024184
2022-10-10T00:00:00Z,56.189681,30.281741,13.271031,0.223544,0.034002
2022-10-17T00:00:00Z,56.814532,29.640043,13.315108,0.182939,0.047378
2022-10-24T00:00:00Z,57.719648,29.042367,13.00483,0.174259,0.058895
2022-10-31T00:00:00Z,57.971941,28.639444,13.171849,0.168453,0.048313
2022-11-07T00:00:00Z,57.047262,29.331911,13.386075,0.178983,0.055769
2022-11-14T00:00:00Z,56.607208,29.895563,13.288443,0.162377,0.046409
2022-11-21T00:00:00Z,55.584136,31.096125,13.100081,0.175121,0.044537
2022-11-28T00:00:00Z,52.662469,30.709491,16.428317,0.171054,0.028669
2022-12-05T00:00:00Z,52.921845,30.255774,16.616218,0.177906,0.028257
2022-12-12T00:00:00Z,54.836554,30.927859,13.961944,0.24671,0.026932
2022-12-19T00:00:00Z,55.785094,29.706443,14.318215,0.164402,0.025845
2022-12-26T00:00:00Z,57.672197,28.403865,13.769677,0.127166,0.027095
