Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,52.286848,25.731855,21.659227,0.317574,0.004496
2022-01-03T00:00:00Z,52.229748,26.778389,20.679932,0.307375,0.004557
2022-01-10T00:00:00Z,59.763041,23.02599,16.931447,0.275675,0.003846
2022-01-17T00:00:00Z,64.897382,19.382475,15.497453,0.220063,0.002626
2022-01-24T00:00:00Z,64.660353,18.821296,16.279848,0.235523,0.00298
2022-01-31T00:00:00Z,64.996113,18.884223,15.903848,0.211722,0.004094
2022-02-07T00:00:00Z,63.229987,20.038856,16.484056,0.243544,0.003558
2022-02-14T00:00:00Z,59.761225,22.322764,17.66004,0.253087,0.002885
2022-02-21T00:00:00Z,60.395787,21.250597,18.093643,0.25746,0.002514
2022-02-28T00:00:00Z,59.224493,21.941219,18.564812,0.267356,0.00212
2022-03-07T00:00:00Z,59.528427,21.801891,18.390305,0.277371,0.002006
2022-03-14T00:00:00Z,55.247796,25.372888,19.088763,0.28823,0.002322
2022-03-21T00:00:00Z,54.401786,24.228694,21.080515,0.285846,0.003158
2022-03-28T00:00:00Z,56.176786,24.877196,18.599031,0.342269,0.004718
2022-04-04T00:00:00Z,52.801615,24.977435,21.876584,0.340841,0.003526
2022-04-11T00:00:00Z,52.766589,23.275802,23.696769,0.256357,0.004483
2022-04-18T00:00:00Z,52.219981,23.444816,24.050477,0.283097,0.001629
2022-04-25T00:00:00Z,54.46166,23.372206,21.869299,0.293158,0.003677
2022-05-02T00:00:00Z,54.792346,23.432555,21.556548,0.214012,0.004539
2022-05-09T00:00:00Z,53.661734,23.446374,22.658583,0.229123,0.004186
2022-05-16T00:00:00Z,53.05903,22.265974,24.482181,0.190441,0.002373
2022-05-23T00:00:00Z,54.940702,21.62976,23.229357,0.195387,0.004794
2022-05-30T00:00:00Z,53.64467,22.697683,23.445436,0.209677,0.002535
2022-06-06T00:00:00Z,54.304172,22.01835,23.499803,0.173985,0.003689
2022-06-13T00:00:00Z,54.300421,21.803372,23.692283,0.201628,0.002296
2022-06-20T00:00:00Z,54.873607,20.634247,24.304278,0.185192,0.002676
2022-06-27T00:00:00Z,53.49173,20.49462,25.818832,0.190628,0.004189
2022-07-04T00:00:00Z,53.70453,21.951914,24.164432,0.175212,0.003913
2022-07-11T00:00:00Z,53.374453,21.841132,24.619672,0.162324,0.002419
2022-07-18T00:00:00Z,53.687289,21.502272,24.635243,0.173131,0.002065
2022-07-25T00:00:00Z,53.69462,20.000913,26.138268,0.160546,0.005653
2022-08-01T00:00:00Z,54.700655,19.099553,26.047973,0.146564,0.005256
2022-08-08T00:00:00Z,52.863523,18.901725,28.089745,0.140429,0.004578
2022-08-15T00:00:00Z,55.359841,19.243444,25.229103,0.164032,0.00358
2022-08-22T00:00:00Z,55.367847,18.948346,25.501748,0.177464,0.004594
2022-08-29T00:00:00Z,56.367168,18.776564,24.712089,0.139712,0.004467
2022-09-05T00:00:00Z,57.417553,17.204456,25.124482,0.247926,0.005583
2022-09-12T00:00:00Z,55.745865,17.604858,26.498289,0.146856,0.004132
2022-09-19T00:00:00Z,55.632153,17.251688,26.841246,0.267415,0.007497
2022-09-26T00:00:00Z,54.935417,17.404633,27.497784,0.153425,0.008741
2022-10-03T00:00:00Z,54.984717,16.935564,27.912152,0.148846,0.01872
2022-10-10T00:00:00Z,54.770421,16.202301,28.85991,0.147722,0.019647
2022-10-17T00:00:00Z,57.387191,15.41677,27.048367,0.133625,0.014046
2022-10-24T00:00:00Z,56.649529,15.992231,27.208667,0.123861,0.025713
2022-10-31T00:00:00Z,56.575457,15.664154,27.61637,0.119038,0.024981
2022-11-07T00:00:00Z,53.11762,16.710201,30.002784,0.146543,0.022851
2022-11-14T00:00:00Z,52.871291,16.542001,30.440323,0.127134,0.019252
2022-11-21T00:00:00Z,53.572762,15.089409,31.204804,0.119704,0.013321
2022-11-28T00:00:00Z,53.884066,15.712929,30.255113,0.129772,0.01812
2022-12-05T00:00:00Z,53.522995,15.757643,30.585738,0.116097,0.017527
2022-12-12T00:00:00Z,54.27046,15.896872,29.684244,0.134016,0.014408
2022-12-19T00:00:00Z,53.099208,16.723508,30.012614,0.148665,0.016005
2022-12-26T00:00:00Z,53.49285,14.778423,31.575287,0.132932,0.020509
