Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,59.044569,25.067651,15.52298,0.351143,0.013658
2022-01-03T00:00:00Z,59.423143,25.249333,14.933096,0.383331,0.011097
2022-01-10T00:00:00Z,61.030519,24.00132,14.537425,0.418457,0.012279
2022-01-17T00:00:00Z,60.247698,25.032836,14.278587,0.428541,0.012338
2022-01-24T00:00:00Z,60.141136,25.611784,13.778355,0.455516,0.013208
2022-01-31T00:00:00Z,59.854089,26.079962,13.631248,0.422165,0.012537
2022-02-07T00:00:00Z,60.202838,25.590527,13.713966,0.480157,0.012512
2022-02-14T00:00:00Z,60.164105,25.770928,13.595549,0.457751,0.011667
2022-02-21T00:00:00Z,60.622275,26.001804,12.956352,0.408215,0.011353
2022-02-28T00:00:00Z,62.379605,24.363177,12.835743,0.412172,0.009303
2022-03-07T00:00:00Z,61.380494,24.765841,13.352254,0.490704,0.010706
2022-03-14T00:00:00Z,61.839833,24.404291,13.333913,0.413211,0.008752
2022-03-21T00:00:00Z,61.12553,25.154952,13.270287,0.437691,0.011541
2022-03-28T00:00:00Z,60.857074,24.860401,13.816629,0.456416,0.00948
2022-04-04T00:00:00Z,58.168134,26.713983,14.562812,0.538848,0.016222
2022-04-11T00:00:00Z,57.061087,26.305197,16.084584,0.537561,0.011571
2022-04-18T00:00:00Z,56.15662,23.991493,19.373632,0.469449,0.008806
2022-04-25T00:00:00Z,55.813534,23.466889,20.298312,0.41014,0.011125
2022-05-02T00:00:00Z,57.105774,24.714475,17.749108,0.42004,0.010602
2022-05-09T00:00:00Z,57.536123,25.345559,16.67652,0.430824,0.010974
2022-05-16T00:00:00Z,57.177181,25.969812,16.401182,0.443503,0.008322
2022-05-23T00:00:00Z,57.437164,26.003488,16.088698,0.461171,0.009479
2022-05-30T00:00:00Z,58.135496,25.506494,15.871967,0.478485,0.007558
2022-06-06T00:00:00Z,57.974149,26.252977,15.205318,0.556973,0.010583
2022-06-13T00:00:00Z,57.927602,26.511045,15.060644,0.488055,0.012653
2022-06-20T00:00:00Z,57.477604,27.548277,14.419474,0.538264,0.01638
2022-06-27T00:00:00Z,55.943392,29.714772,13.866321,0.458632,0.016883
2022-07-04T00:00:00Z,55.913086,29.437577,14.209828,0.410267,0.029243
2022-07-11T00:00:00Z,56.021824,29.430904,14.049766,0.474668,0.022838
2022-07-18T00:00:00Z,55.70249,29.843652,14.022647,0.388632,0.042579
2022-07-25T00:00:00Z,56.30727,29.389768,13.881004,0.395781,0.026177
2022-08-01T00:00:00Z,54.710017,31.574515,13.334846,0.361008,0.019614
2022-08-08T00:00:00Z,53.82864,33.035077,12.678686,0.441593,0.016005
2022-08-15T00:00:00Z,54.618247,32.689507,12.338039,0.339327,0.014879
2022-08-22T00:00:00Z,55.187196,32.367128,12.082877,0.347711,0.015087
2022-08-29T00:00:00Z,55.441888,31.82051,12.380852,0.340228,0.016522
2022-09-05T00:00:00Z,55.975471,31.055949,12.620584,0.331435,0.016561
2022-09-12T00:00:00Z,57.214698,29.978183,12.373617,0.415566,0.017936
2022-09-19T00:00:00Z,56.530115,29.872262,13.242204,0.339837,0.015582
2022-09-26T00:00:00Z,57.258797,30.097182,12.317443,0.3032,0.023379
2022-10-03T00:00:00Z,57.876354,29.458703,12.30577,0.343407,0.015765
2022-10-10T00:00:00Z,58.482885,27.955081,13.21043,0.336572,0.015031
2022-10-17T00:00:00Z,59.546996,27.68557,12.540581,0.211377,0.015476
2022-10-24T00:00:00Z,58.507886,28.475556,12.829337,0.171411,0.01581
2022-10-31T00:00:00Z,58.096864,28.727001,12.998547,0.160429,0.017159
2022-11-07T00:00:00Z,57.887794,28.739781,13.210191,0.144667,0.017567
2022-11-14T00:00:00Z,58.342957,28.379234,13.129364,0.132264,0.016181
2022-11-21T00:00:00Z,59.330548,27.891818,12.6341,0.128217,0.015317
2022-11-28T00:00:00Z,57.027282,28.723208,14.094881,0.13612,0.01851
2022-12-05T00:00:00Z,57.797376,28.486744,13.558427,0.139862,0.017592
2022-12-12T00:00:00Z,57.175657,29.708775,12.947416,0.147079,0.021073
2022-12-19T00:00:00Z,56.097049,30.312766,13.424776,0.144007,0.021402
2022-12-26T00:00:00Z,56.055736,30.771618,13.032264,0.115397,0.024985
