Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,63.57904,18.479001,17.773604,0.165936,0.002419
2022-01-03T00:00:00Z,63.406247,17.740936,18.677796,0.172803,0.002219
2022-01-10T00:00:00Z,63.185834,18.50638,18.121011,0.185923,0.000853
2022-01-17T00:00:00Z,62.204858,17.687329,19.967445,0.138767,0.001601
2022-01-24T00:00:00Z,62.82155,17.85254,19.128546,0.194799,0.002565
2022-01-31T00:00:00Z,61.043755,19.109074,19.656721,0.184465,0.005985
2022-02-07T00:00:00Z,61.801996,18.04766,19.973636,0.171019,0.005688
2022-02-14T00:00:00Z,62.761548,18.07339,19.009518,0.15318,0.002364
2022-02-21T00:00:00Z,63.221088,17.32945,19.227745,0.220956,0.000761
2022-02-28T00:00:00Z,61.508104,18.348818,20.002313,0.139509,0.001257
2022-03-07T00:00:00Z,61.378661,17.857651,20.596108,0.165925,0.001655
2022-03-14T00:00:00Z,62.797749,17.126578,19.93396,0.141332,0.00038
2022-03-21T00:00:00Z,65.303976,15.683771,18.788119,0.223195,0.000939
2022-03-28T00:00:00Z,65.397147,15.808087,18.583874,0.209949,0.000943
2022-04-04T00:00:00Z,62.81509,16.60505,20.376296,0.202232,0.001331
2022-04-11T00:00:00Z,63.538259,15.159144,21.140038,0.160455,0.002103
2022-04-18T00:00:00Z,62.608494,17.696413,19.52275,0.170074,0.002269
2022-04-25T00:00:00Z,64.979633,16.268004,18.602695,0.148763,0.000906
2022-05-02T00:00:00Z,62.672462,16.727415,20.188243,0.411404,0.000475
2022-05-09T00:00:00Z,63.905296,18.362019,17.585713,0.145873,0.001099
2022-05-16T00:00:00Z,65.47695,15.230247,19.149702,0.142654,0.000448
2022-05-23T00:00:00Z,65.312072,15.833469,18.631676,0.218426,0.004357
2022-05-30T00:00:00Z,62.128976,17.395419,20.369627,0.105168,0.00081
2022-06-06T00:00:00Z,62.820321,16.530384,20.559235,0.088129,0.001931
2022-06-13T00:00:00Z,61.258083,15.455154,22.854531,0.431232,0.001
2022-06-20T00:00:00Z,61.03058,15.763196,23.086492,0.119064,0.000667
2022-06-27T00:00:00Z,60.187056,15.272943,24.457488,0.081432,0.00108
2022-07-04T00:00:00Z,60.14051,15.667718,24.083886,0.103526,0.00436
2022-07-11T00:00:00Z,63.22388,13.775892,22.788807,0.210427,0.000994
2022-07-18T00:00:00Z,62.53829,13.504816,23.881412,0.074123,0.001359
2022-07-25T00:00:00Z,62.333129,13.381662,23.938762,0.345943,0.000505
2022-08-01T00:00:00Z,62.505332,12.87734,24.411307,0.20137,0.00465
2022-08-08T00:00:00Z,60.402586,13.521953,25.968237,0.103495,0.00373
2022-08-15T00:00:00Z,61.420401,12.650591,25.756719,0.171748,0.000542
2022-08-22T00:00:00Z,60.732533,12.260039,26.870103,0.135998,0.001326
2022-08-29T00:00:00Z,58.252601,13.809666,27.660591,0.272613,0.004528
2022-09-05T00:00:00Z,62.418683,14.150997,23.346232,0.082217,0.001871
2022-09-12T00:00:00Z,61.3838,13.440881,25.060245,0.113588,0.001485
2022-09-19T00:00:00Z,61.390096,16.680464,21.829316,0.099672,0.000452
2022-09-26T00:00:00Z,65.168285,13.218951,21.398334,0.213542,0.000889
2022-10-03T00:00:00Z,67.181827,10.983593,21.756165,0.077661,0.000754
2022-10-10T00:00:00Z,66.775405,11.183689,21.969425,0.070621,0.000859
2022-10-17T00:00:00Z,66.525289,12.174339,21.250012,0.049787,0.000572
2022-10-24T00:00:00Z,66.71797,11.710279,21.530074,0.040939,0.000738
2022-10-31T00:00:00Z,68.645368,10.923443,20.377297,0.052483,0.001408
2022-11-07T00:00:00Z,67.590028,11.454772,20.921984,0.032175,0.00104
2022-11-14T00:00:00Z,66.436372,13.944979,19.548042,0.070083,0.000524
2022-11-21T00:00:00Z,68.195342,11.127085,20.584253,0.091602,0.001718
2022-11-28T00:00:00Z,66.057617,11.601684,22.265943,0.069517,0.005239
2022-12-05T00:00:00Z,67.21872,11.740306,20.969096,0.071566,0.000312
2022-12-12T00:00:00Z,64.818915,11.24625,23.847466,0.086875,0.000495
2022-12-19T00:00:00Z,65.121328,12.307072,22.509707,0.061007,0.000885
2022-12-26T00:00:00Z,67.96024,10.628898,21.335095,0.075203,0.000564
