Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,55.427341,23.654352,20.522095,0.389192,0.00702
2022-01-03T00:00:00Z,58.773435,21.213211,19.682915,0.325303,0.005136
2022-01-10T00:00:00Z,58.242294,21.318235,20.120248,0.311854,0.007369
2022-01-17T00:00:00Z,58.27816,22.639513,18.786925,0.286572,0.00883
2022-01-24T00:00:00Z,60.149667,20.702954,18.837915,0.305653,0.003811
2022-01-31T00:00:00Z,55.576396,20.581556,23.480555,0.35616,0.005332
2022-02-07T00:00:00Z,55.866379,21.015046,22.810674,0.302838,0.005064
2022-02-14T00:00:00Z,57.329871,21.291407,20.995851,0.378851,0.00402
2022-02-21T00:00:00Z,59.617974,20.31092,19.721279,0.328696,0.02113
2022-02-28T00:00:00Z,57.340606,20.965981,21.329612,0.35701,0.00679
2022-03-07T00:00:00Z,56.56287,20.635203,22.396661,0.399764,0.005503
2022-03-14T00:00:00Z,55.700656,24.991937,18.954595,0.345519,0.007293
2022-03-21T00:00:00Z,57.599235,20.041075,22.107593,0.244813,0.007284
2022-03-28T00:00:00Z,57.55575,19.467406,22.560048,0.413141,0.003655
2022-04-04T00:00:00Z,50.916963,27.407949,21.422081,0.250112,0.002895
2022-04-11T00:00:00Z,55.005307,24.411063,20.239387,0.341311,0.002932
2022-04-18T00:00:00Z,53.655283,27.047408,19.014054,0.280043,0.003211
2022-04-25T00:00:00Z,52.298999,26.520196,20.921626,0.258768,0.000411
2022-05-02T00:00:00Z,56.096401,23.673595,20.015458,0.209893,0.004653
2022-05-09T00:00:00Z,54.138836,26.907055,18.688707,0.264101,0.001301
2022-05-16T00:00:00Z,55.586589,25.638447,18.539412,0.233213,0.002339
2022-05-23T00:00:00Z,55.633016,24.669915,19.476045,0.212202,0.008822
2022-05-30T00:00:00Z,56.534476,24.841409,18.37384,0.24809,0.002185
2022-06-06T00:00:00Z,58.408064,23.442023,17.862258,0.286303,0.001352
2022-06-13T00:00:00Z,59.778693,22.464907,17.523606,0.226455,0.00634
2022-06-20T00:00:00Z,55.242405,23.728429,20.826655,0.200202,0.00231
2022-06-27T00:00:00Z,55.348815,22.521016,21.90546,0.222499,0.00221
2022-07-04T00:00:00Z,55.885437,22.794649,21.10717,0.211285,0.00146
2022-07-11T00:00:00Z,55.897477,22.950838,20.976032,0.173672,0.001982
2022-07-18T00:00:00Z,52.138491,25.476074,22.195404,0.184489,0.005543
2022-07-25T00:00:00Z,56.056707,22.444419,21.282107,0.212798,0.003969
2022-08-01T00:00:00Z,52.995392,21.08636,25.744946,0.166019,0.007284
2022-08-08T00:00:00Z,54.928601,21.375773,23.488985,0.195778,0.010863
2022-08-15T00:00:00Z,53.464056,20.126534,26.240769,0.166385,0.002256
2022-08-22T00:00:00Z,54.126966,21.029339,24.680796,0.158652,0.004246
2022-08-29T00:00:00Z,52.241677,22.212825,25.361392,0.178693,0.005412
2022-09-05T00:00:00Z,56.699944,19.29641,23.814362,0.183267,0.006016
2022-09-12T00:00:00Z,56.405981,20.265929,23.192494,0.130893,0.004703
2022-09-19T00:00:00Z,61.253353,18.880428,19.65132,0.212113,0.002785
2022-09-26T00:00:00Z,60.932185,18.526406,20.402895,0.136623,0.00189
2022-10-03T00:00:00Z,62.017135,18.590323,19.263802,0.125709,0.00303
2022-10-10T00:00:00Z,60.920416,18.416351,20.337301,0.323094,0.002838
2022-10-17T00:00:00Z,62.073417,18.817622,18.945226,0.155972,0.007764
2022-10-24T00:00:00Z,58.308219,19.362733,22.264264,0.063837,0.000947
2022-10-31T00:00:00Z,62.833794,18.490989,18.614729,0.057345,0.003143
2022-11-07T00:00:00Z,64.533272,17.851299,17.539444,0.07007,0.005915
2022-11-14T00:00:00Z,63.574944,18.396505,17.938487,0.082185,0.007879
2022-11-21T00:00:00Z,67.651339,14.937301,17.342795,0.062695,0.00587
2022-11-28T00:00:00Z,60.898239,21.629409,17.403668,0.062076,0.006609
2022-12-05T00:00:00Z,55.305762,24.656589,19.92071,0.110287,0.006653
2022-12-12T00:00:00Z,56.509858,21.548827,21.880194,0.056054,0.005066
2022-12-19T00:00:00Z,55.430965,23.084475,21.381955,0.091707,0.010897
2022-12-26T00:00:00Z,57.470968,20.106052,22.357719,0.055074,0.010187
