Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,66.308784,17.286834,16.072059,0.321269,0.011055
2022-01-03T00:00:00Z,67.040578,16.409474,16.252556,0.285106,0.012286
2022-01-10T00:00:00Z,68.428971,15.527739,15.753587,0.279067,0.010636
2022-01-17T00:00:00Z,69.359589,14.771169,15.582517,0.27757,0.009156
2022-01-24T00:00:00Z,69.219612,14.127707,16.347825,0.294866,0.009991
2022-01-31T00:00:00Z,69.190629,14.161035,16.333569,0.300662,0.014105
2022-02-07T00:00:00Z,69.935226,13.920203,15.836242,0.298625,0.009705
2022-02-14T00:00:00Z,70.253507,13.683198,15.759542,0.2929,0.010853
2022-02-21T00:00:00Z,71.679929,13.885621,14.094893,0.331799,0.007758
2022-02-28T00:00:00Z,77.271607,13.663542,8.734111,0.32276,0.00798
2022-03-07T00:00:00Z,78.479193,13.670597,7.485984,0.354614,0.009612
2022-03-14T00:00:00Z,82.979706,11.551973,5.194285,0.265281,0.008755
2022-03-21T00:00:00Z,78.77364,13.497449,7.337263,0.380589,0.01106
2022-03-28T00:00:00Z,76.116014,15.181347,8.295149,0.394844,0.012646
2022-04-04T00:00:00Z,75.345115,15.853143,8.398307,0.390723,0.012711
2022-04-11T00:00:00Z,75.406935,15.998701,8.21257,0.35987,0.021923
2022-04-18T00:00:00Z,74.218994,17.159595,8.121272,0.475705,0.024434
2022-04-25T00:00:00Z,73.628768,17.938484,8.056142,0.354701,0.021905
2022-05-02T00:00:00Z,73.394887,18.040767,8.140287,0.397735,0.026324
2022-05-09T00:00:00Z,72.092217,19.421089,8.07504,0.374739,0.036915
2022-05-16T00:00:00Z,72.233718,18.707045,8.624056,0.411906,0.023276
2022-05-23T00:00:00Z,72.659949,17.873436,9.047782,0.400642,0.018192
2022-05-30T00:00:00Z,66.840367,18.118064,14.620891,0.402202,0.018476
2022-06-06T00:00:00Z,59.131145,18.451717,21.964705,0.434385,0.018048
2022-06-13T00:00:00Z,60.023966,17.637558,21.972089,0.344811,0.021575
2022-06-20T00:00:00Z,60.286074,17.010755,22.294347,0.383424,0.025401
2022-06-27T00:00:00Z,59.266138,16.723744,23.617341,0.376143,0.016634
2022-07-04T00:00:00Z,58.646422,17.126058,23.751119,0.462293,0.014109
2022-07-11T00:00:00Z,57.103024,18.704395,23.792567,0.381246,0.018768
2022-07-18T00:00:00Z,58.655414,17.455024,23.540448,0.332871,0.016243
2022-07-25T00:00:00Z,59.462359,17.118341,23.041963,0.363869,0.013467
2022-08-01T00:00:00Z,58.424877,16.722096,24.466412,0.368759,0.017855
2022-08-08T00:00:00Z,59.169513,16.587319,23.842954,0.380706,0.019508
2022-08-15T00:00:00Z,58.672686,16.31979,24.657546,0.333408,0.01657
2022-08-22T00:00:00Z,59.468437,15.026928,25.145277,0.347768,0.011592
2022-08-29T00:00:00Z,58.742299,15.445006,25.462032,0.325417,0.025246
2022-09-05T00:00:00Z,58.026265,15.587868,25.995201,0.371869,0.018796
2022-09-12T00:00:00Z,58.722907,15.000667,25.904838,0.360634,0.010954
2022-09-19T00:00:00Z,58.49125,15.035582,26.113977,0.346229,0.012961
2022-09-26T00:00:00Z,59.188768,14.749345,25.701651,0.349079,0.011157
2022-10-03T00:00:00Z,59.88034,15.261262,24.509847,0.339201,0.009349
2022-10-10T00:00:00Z,61.43492,14.5765,23.672461,0.303062,0.013058
2022-10-17T00:00:00Z,62.771983,14.329947,22.636774,0.250696,0.010601
2022-10-24T00:00:00Z,63.386486,14.452204,21.944733,0.206017,0.01056
2022-10-31T00:00:00Z,62.362627,15.429952,21.982513,0.211391,0.013518
2022-11-07T00:00:00Z,60.925295,16.069183,22.809711,0.184979,0.010832
2022-11-14T00:00:00Z,61.58203,15.148366,23.079561,0.179517,0.010526
2022-11-21T00:00:00Z,61.007161,14.381151,24.425794,0.174088,0.011806
2022-11-28T00:00:00Z,60.300706,14.506068,25.030234,0.153914,0.009078
2022-12-05T00:00:00Z,60.890089,14.302799,24.635157,0.162633,0.009322
2022-12-12T00:00:00Z,60.896044,14.548094,24.400789,0.144278,0.010794
2022-12-19T00:00:00Z,61.129088,14.600029,24.131551,0.129094,0.010238
2022-12-26T00:00:00Z,61.962656,14.077746,23.824419,0.123941,0.011239
