Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,57.538506,30.759647,10.966365,0.615411,0.120071
2022-01-03T00:00:00Z,56.926547,31.218704,11.219057,0.549712,0.085981
2022-01-10T00:00:00Z,58.120281,27.285546,13.949101,0.540045,0.105027
2022-01-17T00:00:00Z,56.845268,28.835269,13.634985,0.605304,0.079175
2022-01-24T00:00:00Z,56.857609,25.980005,16.573896,0.511096,0.077393
2022-01-31T00:00:00Z,58.245624,28.394914,12.737521,0.542818,0.079123
2022-02-07T00:00:00Z,57.716487,29.083201,12.627803,0.463805,0.108704
2022-02-14T00:00:00Z,58.842506,27.602698,12.992259,0.495045,0.067491
2022-02-21T00:00:00Z,58.997522,28.182054,12.266871,0.47307,0.080482
2022-02-28T00:00:00Z,58.032507,28.276178,13.189162,0.434918,0.067235
2022-03-07T00:00:00Z,58.980521,27.444944,13.107192,0.407675,0.059668
2022-03-14T00:00:00Z,59.540019,27.317621,12.741854,0.351787,0.048719
2022-03-21T00:00:00Z,57.622884,28.252453,13.649015,0.351498,0.12415
2022-03-28T00:00:00Z,59.659928,26.32759,13.566688,0.355889,0.089905
2022-04-04T00:00:00Z,56.32627,27.668786,15.489067,0.481591,0.034285
2022-04-11T00:00:00Z,59.569578,27.525125,12.586323,0.263882,0.055092
2022-04-18T00:00:00Z,61.013983,25.827391,12.782372,0.325477,0.050776
2022-04-25T00:00:00Z,56.702342,28.194539,14.720057,0.273794,0.109268
2022-05-02T00:00:00Z,59.724184,25.155344,14.59863,0.465418,0.056425
2022-05-09T00:00:00Z,60.870152,24.36106,14.35147,0.352678,0.06464
2022-05-16T00:00:00Z,59.192114,25.588559,14.85757,0.296017,0.06574
2022-05-23T00:00:00Z,61.327815,23.886937,14.33722,0.388222,0.059805
2022-05-30T00:00:00Z,61.111361,25.344039,13.244699,0.267078,0.032823
2022-06-06T00:00:00Z,63.306014,23.248501,12.956559,0.442724,0.046203
2022-06-13T00:00:00Z,63.220693,23.292208,13.176545,0.275371,0.035183
2022-06-20T00:00:00Z,59.919281,25.512084,14.248284,0.280094,0.040257
2022-06-27T00:00:00Z,63.643126,22.287602,13.823802,0.1934,0.052069
2022-07-04T00:00:00Z,61.666016,23.474141,14.566366,0.248791,0.044686
2022-07-11T00:00:00Z,56.863541,23.535466,19.306866,0.205476,0.088651
2022-07-18T00:00:00Z,59.011488,22.996828,17.712795,0.225693,0.053196
2022-07-25T00:00:00Z,59.053542,23.171393,17.378865,0.311067,0.085133
2022-08-01T00:00:00Z,58.686833,23.497669,17.376022,0.239572,0.199905
2022-08-08T00:00:00Z,59.415809,23.104162,17.185612,0.266781,0.027636
2022-08-15T00:00:00Z,57.835169,24.009272,17.87252,0.221635,0.061404
2022-08-22T00:00:00Z,58.754121,21.327163,19.59635,0.267063,0.055305
2022-08-29T00:00:00Z,59.695357,21.058919,18.95018,0.259215,0.036329
2022-09-05T00:00:00Z,57.525267,22.533075,19.597783,0.255332,0.088543
2022-09-12T00:00:00Z,57.748869,23.232617,18.79649,0.201312,0.020713
2022-09-19T00:00:00Z,55.587153,23.648745,20.391317,0.314559,0.058225
2022-09-26T00:00:00Z,58.879605,23.924105,16.968178,0.199046,0.029066
2022-10-03T00:00:00Z,60.99299,21.048702,17.748282,0.176954,0.033072
2022-10-10T00:00:00Z,60.880767,22.848477,16.00239,0.184119,0.084247
2022-10-17T00:00:00Z,61.892086,21.49877,16.279388,0.280208,0.049549
2022-10-24T00:00:00Z,60.306912,22.223741,17.149231,0.289105,0.031011
2022-10-31T00:00:00Z,62.570803,20.453738,16.737093,0.211279,0.027087
2022-11-07T00:00:00Z,61.028627,21.456005,17.274869,0.209944,0.030555
2022-11-14T00:00:00Z,60.79428,21.357043,17.588824,0.231518,0.028335
2022-11-21T00:00:00Z,61.472531,25.560868,12.75387,0.174593,0.038137
2022-11-28T00:00:00Z,66.056626,20.368347,13.373711,0.177441,0.023874
2022-12-05T00:00:00Z,62.160938,22.001925,15.588561,0.221076,0.0275
2022-12-12T00:00:00Z,64.948386,18.107719,16.724641,0.178366,0.040888
2022-12-19T00:00:00Z,62.020486,20.225864,17.588136,0.141006,0.024509
2022-12-26T00:00:00Z,62.566892,18.654172,18.522193,0.238705,0.018038
