Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,61.13748,27.003114,11.585604,0.26816,0.005642
2022-01-03T00:00:00Z,62.740609,26.25106,10.671559,0.329856,0.006916
2022-01-10T00:00:00Z,62.325927,26.253168,11.068115,0.345254,0.007536
2022-01-17T00:00:00Z,63.850205,23.879222,11.82163,0.444381,0.004561
2022-01-24T00:00:00Z,62.039196,24.007144,13.597228,0.34459,0.011842
2022-01-31T00:00:00Z,63.610368,22.255861,13.734893,0.373907,0.024971
2022-02-07T00:00:00Z,65.221581,21.303558,13.129484,0.343136,0.002241
2022-02-14T00:00:00Z,65.340811,20.856133,13.353199,0.427918,0.021939
2022-02-21T00:00:00Z,65.351427,20.421094,13.789136,0.423516,0.014827
2022-02-28T00:00:00Z,65.400055,20.311282,13.911459,0.372781,0.004423
2022-03-07T00:00:00Z,65.80931,19.660055,14.225059,0.291738,0.013839
2022-03-14T00:00:00Z,65.805698,19.343556,14.565555,0.280737,0.004453
2022-03-21T00:00:00Z,65.496355,19.026477,14.969226,0.502522,0.00542
2022-03-28T00:00:00Z,64.459845,20.559693,14.580566,0.388709,0.011187
2022-04-04T00:00:00Z,65.614243,19.069528,14.250909,1.058837,0.006483
2022-04-11T00:00:00Z,62.418023,20.613289,16.545858,0.415845,0.006986
2022-04-18T00:00:00Z,66.146524,18.594555,14.625191,0.629531,0.0042
2022-04-25T00:00:00Z,67.554297,18.479996,13.555983,0.383055,0.02667
2022-05-02T00:00:00Z,65.167116,16.620076,17.86534,0.336696,0.010773
2022-05-09T00:00:00Z,68.183529,17.045395,14.50383,0.263149,0.004096
2022-05-16T00:00:00Z,67.730491,17.152987,14.825862,0.278084,0.012575
2022-05-23T00:00:00Z,64.655702,20.289735,14.825111,0.22114,0.008312
2022-05-30T00:00:00Z,66.033719,17.450123,15.851409,0.657584,0.007165
2022-06-06T00:00:00Z,67.968913,16.196984,15.582815,0.247125,0.004164
2022-06-13T00:00:00Z,67.044137,17.402584,15.346402,0.204006,0.00287
2022-06-20T00:00:00Z,68.091023,16.371934,15.317047,0.215669,0.004327
2022-06-27T00:00:00Z,65.9198,16.090078,17.71168,0.271802,0.00664
2022-07-04T00:00:00Z,64.112445,19.728709,15.811704,0.338235,0.008907
2022-07-11T00:00:00Z,64.524389,16.87489,18.323115,0.269502,0.008104
2022-07-18T00:00:00Z,63.093967,16.393202,20.165398,0.342115,0.005319
2022-07-25T00:00:00Z,62.132095,16.465102,21.15813,0.241067,0.003606
2022-08-01T00:00:00Z,60.937408,14.67596,24.218991,0.16156,0.006081
2022-08-08T00:00:00Z,62.630079,16.007363,21.141356,0.217622,0.00358
2022-08-15T00:00:00Z,65.658918,13.60226,20.50731,0.169394,0.062117
2022-08-22T00:00:00Z,60.631971,16.767007,22.269575,0.300638,0.03081
2022-08-29T00:00:00Z,64.429165,14.533158,20.76042,0.258397,0.01886
2022-09-05T00:00:00Z,61.739152,14.078604,23.783727,0.38312,0.015396
2022-09-12T00:00:00Z,66.827302,13.694352,18.974066,0.482282,0.021999
2022-09-19T00:00:00Z,62.121532,14.289589,23.059094,0.51669,0.013095
2022-09-26T00:00:00Z,67.51453,14.804526,17.300351,0.376389,0.004203
2022-10-03T00:00:00Z,68.352913,12.902261,18.319611,0.415243,0.009972
2022-10-10T00:00:00Z,66.288579,14.055317,19.349982,0.290906,0.015217
2022-10-17T00:00:00Z,71.159703,12.841426,15.746402,0.232548,0.019921
2022-10-24T00:00:00Z,67.14664,15.685939,16.849461,0.3095,0.008459
2022-10-31T00:00:00Z,68.288115,14.332323,17.17429,0.198155,0.007117
2022-11-07T00:00:00Z,67.89551,14.661921,17.072041,0.350464,0.020064
2022-11-14T00:00:00Z,68.02477,14.010265,17.624939,0.320624,0.019401
2022-11-21T00:00:00Z,66.742826,15.33628,17.525115,0.375768,0.02001
2022-11-28T00:00:00Z,64.530701,18.015778,17.095154,0.337635,0.020732
2022-12-05T00:00:00Z,67.502262,16.608794,15.557065,0.305669,0.02621
2022-12-12T00:00:00Z,66.075052,17.128145,16.536155,0.240209,0.020439
2022-12-19T00:00:00Z,64.591721,17.101885,18.042581,0.24173,0.022083
2022-12-26T00:00:00Z,66.861196,16.10741,16.84957,0.165041,0.016784
