Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,48.700906,33.413897,17.099698,0.785498,0.0
2022-01-03T00:00:00Z,63.869464,13.053613,22.144522,0.932401,0.0
2022-01-10T00:00:00Z,58.706036,24.402953,15.197568,1.693443,0.0
2022-01-17T00:00:00Z,42.588867,28.034876,27.632461,1.743796,0.0
2022-01-24T00:00:00Z,68.535469,16.361556,12.356979,2.745995,0.0
2022-01-31T00:00:00Z,59.162621,13.834951,27.002427,0.0,0.0
2022-02-07T00:00:00Z,47.599451,18.518519,33.88203,0.0,0.0
2022-02-14T00:00:00Z,60.821555,12.45583,26.678445,0.04417,0.0
2022-02-21T00:00:00Z,47.467532,24.090909,28.246753,0.194805,0.0
2022-02-28T00:00:00Z,60.154603,15.249473,23.541813,1.054111,0.0
2022-03-07T00:00:00Z,48.693684,27.573202,23.664541,0.068573,0.0
2022-03-14T00:00:00Z,61.180477,12.372304,25.425653,1.021566,0.0
2022-03-21T00:00:00Z,64.045553,16.4859,18.926247,0.542299,0.0
2022-03-28T00:00:00Z,50.782881,26.617954,21.503132,1.043841,0.052192
2022-04-04T00:00:00Z,57.830739,15.904669,26.118677,0.145914,0.0
2022-04-11T00:00:00Z,55.379747,21.835443,19.778481,3.006329,0.0
2022-04-18T00:00:00Z,60.014728,18.114875,21.134021,0.662739,0.073638
2022-04-25T00:00:00Z,37.675234,13.200935,48.014019,1.051402,0.058411
2022-05-02T00:00:00Z,64.506329,13.974684,20.708861,0.810127,0.0
2022-05-09T00:00:00Z,18.577228,9.491591,70.73265,1.198531,0.0
2022-05-16T00:00:00Z,49.76239,18.567549,31.228785,0.441276,0.0
2022-05-23T00:00:00Z,54.140127,13.729653,32.130219,0.0,0.0
2022-05-30T00:00:00Z,57.77403,16.627319,25.39629,0.202361,0.0
2022-06-06T00:00:00Z,53.489979,17.519005,28.956462,0.034554,0.0
2022-06-13T00:00:00Z,54.082569,14.678899,31.238532,0.0,0.0
2022-06-20T00:00:00Z,50.592734,21.338432,27.456979,0.611855,0.0
2022-06-27T00:00:00Z,61.483328,12.184481,26.332191,0.0,0.0
2022-07-04T00:00:00Z,43.281344,33.893221,22.795441,0.029994,0.0
2022-07-11T00:00:00Z,56.265458,18.384171,24.031327,1.319044,0.0
2022-07-18T00:00:00Z,63.16881,16.54915,19.784322,0.497719,0.0
2022-07-25T00:00:00Z,56.671762,20.14632,22.799738,0.272985,0.109194
2022-08-01T00:00:00Z,57.80838,12.452388,28.830941,0.849692,0.058599
2022-08-08T00:00:00Z,47.258979,18.100189,34.640832,0.0,0.0
2022-08-15T00:00:00Z,40.822259,21.511628,28.737542,8.928571,0.0
2022-08-22T00:00:00Z,42.715458,12.653899,44.562244,0.0342,0.0342
2022-08-29T00:00:00Z,57.474542,18.900204,23.625255,0.0,0.0
2022-09-05T00:00:00Z,47.380074,28.228782,23.98524,0.405904,0.0
2022-09-12T00:00:00Z,58.029054,22.104437,19.86651,0.0,0.0
2022-09-19T00:00:00Z,63.837398,21.00813,14.439024,0.585366,0.130081
2022-09-26T00:00:00Z,75.749031,8.953119,15.262601,0.035249,0.0
2022-10-03T00:00:00Z,53.977493,33.95421,12.029492,0.038805,0.0
2022-10-10T00:00:00Z,77.51004,7.205292,14.883062,0.401606,0.0
2022-10-17T00:00:00Z,60.998937,21.218562,17.534538,0.0,0.247963
2022-10-24T00:00:00Z,58.082921,20.502092,21.186763,0.228224,0.0
2022-10-31T00:00:00Z,56.802508,22.789969,20.219436,0.188088,0.0
2022-11-07T00:00:00Z,43.480084,17.484277,37.232704,1.63522,0.167715
2022-11-14T00:00:00Z,52.961672,18.397213,27.595819,1.010453,0.034843
2022-11-21T00:00:00Z,67.059138,15.386674,17.313353,0.107038,0.133797
2022-11-28T00:00:00Z,63.249651,14.539749,21.93166,0.244073,0.034868
2022-12-05T00:00:00Z,50.914262,22.348639,26.005689,0.243803,0.487607
2022-12-12T00:00:00Z,72.505092,10.427699,16.537678,0.366599,0.162933
2022-12-19T00:00:00Z,62.135569,10.641399,26.166181,0.911079,0.145773
2022-12-26T00:00:00Z,72.406015,12.969925,14.398496,0.037594,0.18797
