Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,66.055664,19.010715,14.926882,0.006739,0.0
2022-01-03T00:00:00Z,66.060248,19.391613,14.453633,0.094507,0.0
2022-01-10T00:00:00Z,64.940434,19.349399,15.710167,0.0,0.0
2022-01-17T00:00:00Z,66.804274,20.082564,12.876396,0.236765,0.0
2022-01-24T00:00:00Z,60.097542,22.79407,16.947956,0.160431,0.0
2022-01-31T00:00:00Z,69.246933,15.440927,15.095235,0.210127,0.006778
2022-02-07T00:00:00Z,66.04611,20.558501,13.062508,0.332881,0.0
2022-02-14T00:00:00Z,60.474807,25.192575,14.117944,0.214674,0.0
2022-02-21T00:00:00Z,68.851783,16.202845,14.512472,0.4329,0.0
2022-02-28T00:00:00Z,67.226535,19.760056,12.872265,0.141143,0.0
2022-03-07T00:00:00Z,66.816894,19.920843,13.140274,0.121989,0.0
2022-03-14T00:00:00Z,73.448159,14.724755,11.820331,0.006754,0.0
2022-03-21T00:00:00Z,67.598457,18.351896,14.005969,0.043678,0.0
2022-03-28T00:00:00Z,64.10517,20.261571,15.633259,0.0,0.0
2022-04-04T00:00:00Z,70.714503,20.583764,8.604439,0.097294,0.0
2022-04-11T00:00:00Z,69.653179,16.452841,13.499225,0.394755,0.0
2022-04-18T00:00:00Z,62.030463,19.737746,18.140174,0.080165,0.011452
2022-04-25T00:00:00Z,69.835407,18.468118,11.689995,0.0,0.00648
2022-05-02T00:00:00Z,65.565677,21.622098,12.806347,0.005877,0.0
2022-05-09T00:00:00Z,65.586797,18.050122,16.179707,0.183374,0.0
2022-05-16T00:00:00Z,64.635006,19.658963,15.698985,0.007046,0.0
2022-05-23T00:00:00Z,67.920559,16.859494,15.182825,0.037122,0.0
2022-05-30T00:00:00Z,57.574289,32.250715,10.082893,0.092103,0.0
2022-06-06T00:00:00Z,59.648828,27.381353,12.852014,0.117805,0.0
2022-06-13T00:00:00Z,66.233996,19.95988,13.676323,0.129801,0.0
2022-06-20T00:00:00Z,59.508098,22.148904,18.263014,0.079984,0.0
2022-06-27T00:00:00Z,61.130991,23.509,15.305791,0.043375,0.010844
2022-07-04T00:00:00Z,64.697973,24.032668,10.462626,0.796773,0.00996
2022-07-11T00:00:00Z,62.167313,24.295196,13.425774,0.111717,0.0
2022-07-18T00:00:00Z,64.798414,21.592862,13.582287,0.026438,0.0
2022-07-25T00:00:00Z,67.400717,22.179188,10.408669,0.011425,0.0
2022-08-01T00:00:00Z,72.393638,16.787501,10.818861,0.0,0.0
2022-08-08T00:00:00Z,64.157475,25.627787,10.009387,0.205351,0.0
2022-08-15T00:00:00Z,60.683496,26.217205,13.080692,0.018607,0.0
2022-08-22T00:00:00Z,63.133364,22.950929,13.869099,0.046608,0.0
2022-08-29T00:00:00Z,59.138769,34.725972,6.12176,0.013499,0.0
2022-09-05T00:00:00Z,47.724216,15.030156,37.176205,0.069423,0.0
2022-09-12T00:00:00Z,57.070491,23.573059,19.35645,0.0,0.0
2022-09-19T00:00:00Z,61.255814,27.217054,11.496124,0.015504,0.015504
2022-09-26T00:00:00Z,64.354885,24.328302,11.226621,0.080699,0.009494
2022-10-03T00:00:00Z,63.60055,27.351176,9.029515,0.018759,0.0
2022-10-10T00:00:00Z,74.2983,18.049359,7.533744,0.118597,0.0
2022-10-17T00:00:00Z,62.825219,25.070497,12.083001,0.005321,0.015962
2022-10-24T00:00:00Z,74.843123,15.303296,9.847928,0.005653,0.0
2022-10-31T00:00:00Z,67.120399,23.22661,9.571511,0.076687,0.004793
2022-11-07T00:00:00Z,66.958715,19.669012,13.133324,0.238949,0.0
2022-11-14T00:00:00Z,66.402093,19.254252,14.186655,0.157,0.0
2022-11-21T00:00:00Z,63.133811,22.43708,13.978891,0.450218,0.0
2022-11-28T00:00:00Z,64.669727,22.765113,12.530149,0.027231,0.00778
2022-12-05T00:00:00Z,64.513715,21.635187,13.811474,0.039625,0.0
2022-12-12T00:00:00Z,63.879694,23.446515,12.555566,0.118226,0.0
2022-12-19T00:00:00Z,58.893807,28.51159,12.575563,0.00952,0.00952
2022-12-26T00:00:00Z,74.850357,14.586027,10.51573,0.047886,0.0
