Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,65.658186,27.228982,6.720133,0.392699,0.0
2022-01-03T00:00:00Z,68.507007,22.852622,8.442586,0.186483,0.011302
2022-01-10T00:00:00Z,68.715966,21.32433,9.85624,0.092572,0.010891
2022-01-17T00:00:00Z,64.755261,25.415461,9.636436,0.192842,0.0
2022-01-24T00:00:00Z,68.208406,20.231562,11.427365,0.120605,0.012061
2022-01-31T00:00:00Z,68.758745,21.696982,9.219468,0.294823,0.029982
2022-02-07T00:00:00Z,72.657793,18.325462,8.802061,0.210391,0.004294
2022-02-14T00:00:00Z,70.434096,19.360927,9.862617,0.342361,0.0
2022-02-21T00:00:00Z,68.827899,19.652524,11.250997,0.251794,0.016786
2022-02-28T00:00:00Z,66.632173,22.953904,10.070555,0.324553,0.018815
2022-03-07T00:00:00Z,66.153164,23.413499,10.149618,0.279286,0.004433
2022-03-14T00:00:00Z,65.181866,24.108241,10.477069,0.232824,0.0
2022-03-21T00:00:00Z,66.042931,22.651158,10.918184,0.286581,0.101146
2022-03-28T00:00:00Z,71.047162,18.841517,9.898841,0.152432,0.060049
2022-04-04T00:00:00Z,75.610576,16.894466,7.164463,0.263276,0.067219
2022-04-11T00:00:00Z,68.090131,23.191971,8.624422,0.073797,0.019679
2022-04-18T00:00:00Z,77.627207,15.457033,6.668187,0.237801,0.009773
2022-04-25T00:00:00Z,65.112411,21.312228,13.282863,0.275292,0.017206
2022-05-02T00:00:00Z,67.852986,21.009043,11.079774,0.05372,0.004477
2022-05-09T00:00:00Z,62.452091,24.065241,13.406013,0.072396,0.004259
2022-05-16T00:00:00Z,70.717351,16.574699,12.560801,0.134887,0.012262
2022-05-23T00:00:00Z,73.854722,15.849879,10.256659,0.038741,0.0
2022-05-30T00:00:00Z,69.668125,19.618509,10.625161,0.062479,0.025727
2022-06-06T00:00:00Z,58.381547,21.28434,20.077398,0.256715,0.0
2022-06-13T00:00:00Z,66.548623,22.449467,10.958141,0.035811,0.007958
2022-06-20T00:00:00Z,67.207097,20.560569,12.186448,0.042062,0.003824
2022-06-27T00:00:00Z,64.549978,22.515506,12.83355,0.09736,0.003606
2022-07-04T00:00:00Z,61.776976,23.245086,14.753309,0.092258,0.132371
2022-07-11T00:00:00Z,64.981667,18.69155,16.16611,0.152433,0.00824
2022-07-18T00:00:00Z,68.513284,16.134351,15.19691,0.146034,0.009422
2022-07-25T00:00:00Z,67.856144,17.431265,14.692893,0.015758,0.00394
2022-08-01T00:00:00Z,68.592219,14.734185,16.623107,0.01485,0.03564
2022-08-08T00:00:00Z,60.507297,22.929117,16.507992,0.041696,0.013899
2022-08-15T00:00:00Z,66.773633,17.617099,15.500339,0.108929,0.0
2022-08-22T00:00:00Z,76.127018,10.755806,13.050266,0.064122,0.002788
2022-08-29T00:00:00Z,74.495255,10.897436,14.354936,0.249849,0.002524
2022-09-05T00:00:00Z,72.993982,14.897818,11.744609,0.351053,0.012538
2022-09-12T00:00:00Z,65.167337,9.881308,24.935141,0.016215,0.0
2022-09-19T00:00:00Z,80.345477,9.833543,9.795854,0.025126,0.0
2022-09-26T00:00:00Z,64.864381,9.234903,25.655067,0.24565,0.0
2022-10-03T00:00:00Z,71.355437,17.237588,11.376052,0.027487,0.003436
2022-10-10T00:00:00Z,64.747902,28.422327,6.790087,0.039685,0.0
2022-10-17T00:00:00Z,78.249763,12.550355,9.170406,0.029476,0.0
2022-10-24T00:00:00Z,71.522657,15.648937,12.667335,0.157492,0.003579
2022-10-31T00:00:00Z,71.852426,13.506569,14.519804,0.113928,0.007272
2022-11-07T00:00:00Z,73.56493,13.971624,12.393047,0.062277,0.008123
2022-11-14T00:00:00Z,72.435373,13.123467,14.208441,0.22014,0.012579
2022-11-21T00:00:00Z,71.94252,16.419871,11.532023,0.043779,0.061806
2022-11-28T00:00:00Z,70.602952,18.86433,10.489109,0.036723,0.006886
2022-12-05T00:00:00Z,65.402743,16.991474,17.552825,0.031775,0.021183
2022-12-12T00:00:00Z,68.757607,16.358015,14.736357,0.138153,0.009868
2022-12-19T00:00:00Z,66.774012,20.285143,12.865808,0.059405,0.015633
2022-12-26T00:00:00Z,69.967696,15.653185,14.009562,0.325623,0.043933
