Serie_0 timestamps,Serie_0  T L S 1.2,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,65.113023,27.375778,7.304188,0.167306,0.039705
2022-01-03T00:00:00Z,65.155811,27.389142,7.27763,0.134151,0.043266
2022-01-10T00:00:00Z,65.711216,26.539304,7.582892,0.136597,0.029991
2022-01-17T00:00:00Z,63.866415,28.358363,7.585953,0.158825,0.030444
2022-01-24T00:00:00Z,63.952064,27.766951,8.086698,0.163082,0.031203
2022-01-31T00:00:00Z,63.717055,27.931078,8.204554,0.112348,0.034965
2022-02-07T00:00:00Z,63.393089,28.221784,8.230842,0.131492,0.022792
2022-02-14T00:00:00Z,63.546922,28.076003,8.18268,0.146008,0.048386
2022-02-21T00:00:00Z,64.361073,26.975916,8.502727,0.124731,0.035553
2022-02-28T00:00:00Z,64.268503,27.40609,8.128519,0.171207,0.025681
2022-03-07T00:00:00Z,66.341349,25.211443,8.304033,0.113548,0.029627
2022-03-14T00:00:00Z,65.177727,27.011983,7.629288,0.15632,0.024682
2022-03-21T00:00:00Z,60.972206,29.735462,9.170147,0.107606,0.014579
2022-03-28T00:00:00Z,62.378041,27.715241,9.737713,0.133753,0.035253
2022-04-04T00:00:00Z,60.237351,30.983402,8.68387,0.079539,0.015837
2022-04-11T00:00:00Z,60.368056,29.98705,9.532823,0.09157,0.020501
2022-04-18T00:00:00Z,60.32423,30.912834,8.50251,0.236607,0.023817
2022-04-25T00:00:00Z,62.618577,28.379073,8.715017,0.26988,0.017453
2022-05-02T00:00:00Z,61.200062,29.755374,8.793218,0.214516,0.03683
2022-05-09T00:00:00Z,61.271434,28.965207,9.304324,0.435077,0.023958
2022-05-16T00:00:00Z,63.761287,27.527713,8.40392,0.279456,0.027624
2022-05-23T00:00:00Z,62.189571,26.05519,11.48155,0.234421,0.039268
2022-05-30T00:00:00Z,61.126154,27.574909,11.025698,0.22193,0.05131
2022-06-06T00:00:00Z,61.332484,28.926231,9.46147,0.262609,0.017205
2022-06-13T00:00:00Z,60.232653,29.399249,10.08927,0.255646,0.023183
2022-06-20T00:00:00Z,61.598692,28.444078,9.328064,0.597305,0.031861
2022-06-27T00:00:00Z,61.330828,28.789608,9.610217,0.240809,0.028538
2022-07-04T00:00:00Z,60.82299,28.190618,10.570837,0.256625,0.158929
2022-07-11T00:00:00Z,60.217241,29.695172,9.792177,0.268098,0.027312
2022-07-18T00:00:00Z,59.555094,29.851564,10.167951,0.396987,0.028404
2022-07-25T00:00:00Z,61.124071,28.113202,10.45709,0.283432,0.022204
2022-08-01T00:00:00Z,61.207615,28.510766,9.99337,0.258256,0.029993
2022-08-08T00:00:00Z,59.508045,29.481499,10.817477,0.165679,0.027299
2022-08-15T00:00:00Z,61.46263,28.83645,9.387556,0.285665,0.027699
2022-08-22T00:00:00Z,63.125913,28.274357,8.374659,0.187093,0.037979
2022-08-29T00:00:00Z,53.369304,35.240164,11.142781,0.212735,0.035017
2022-09-05T00:00:00Z,48.13539,41.086176,10.463677,0.280516,0.03424
2022-09-12T00:00:00Z,49.122538,39.129845,11.420346,0.295769,0.031502
2022-09-19T00:00:00Z,48.763399,40.555177,10.380035,0.25396,0.047429
2022-09-26T00:00:00Z,49.140967,38.83811,11.557515,0.288618,0.174791
2022-10-03T00:00:00Z,46.344204,41.060032,12.043539,0.377225,0.175001
2022-10-10T00:00:00Z,47.978136,40.372039,11.203718,0.319689,0.126417
2022-10-17T00:00:00Z,45.580712,41.68917,12.423231,0.210415,0.096472
2022-10-24T00:00:00Z,43.003905,45.052306,11.477457,0.331148,0.135185
2022-10-31T00:00:00Z,40.05205,48.388159,11.266595,0.147147,0.146048
2022-11-07T00:00:00Z,43.114525,44.940473,11.70932,0.095134,0.140548
2022-11-14T00:00:00Z,42.462268,44.612321,12.745012,0.099558,0.080841
2022-11-21T00:00:00Z,41.817886,45.75703,12.283198,0.069619,0.072267
2022-11-28T00:00:00Z,42.098819,46.156456,11.57913,0.067123,0.098472
2022-12-05T00:00:00Z,43.776846,42.704387,13.285985,0.080761,0.152021
2022-12-12T00:00:00Z,44.618059,39.679575,15.373592,0.067132,0.261642
2022-12-19T00:00:00Z,45.504698,35.677338,18.593941,0.093307,0.130716
2022-12-26T00:00:00Z,43.178311,38.387723,18.207387,0.0746,0.151979
