Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,59.680349,21.431166,18.852161,0.036324,0.0
2022-01-03T00:00:00Z,65.238095,10.625,24.136905,0.0,0.0
2022-01-10T00:00:00Z,53.675321,30.184548,15.608383,0.531749,0.0
2022-01-17T00:00:00Z,85.106383,0.0,14.893617,0.0,0.0
2022-01-24T00:00:00Z,77.124183,20.261438,2.614379,0.0,0.0
2022-01-31T00:00:00Z,62.222222,33.82716,3.950617,0.0,0.0
2022-02-07T00:00:00Z,60.413081,25.473322,13.769363,0.344234,0.0
2022-02-14T00:00:00Z,83.088235,11.029412,5.588235,0.294118,0.0
2022-02-21T00:00:00Z,69.12996,20.677102,9.901711,0.291227,0.0
2022-02-28T00:00:00Z,65.745683,20.753532,12.715856,0.784929,0.0
2022-03-07T00:00:00Z,70.339631,11.859286,17.627448,0.173635,0.0
2022-03-14T00:00:00Z,73.637911,10.357548,15.664018,0.340522,0.0
2022-03-21T00:00:00Z,67.921348,17.247191,14.634831,0.196629,0.0
2022-03-28T00:00:00Z,68.383972,18.626156,12.967856,0.0,0.022017
2022-04-04T00:00:00Z,70.963855,13.13253,15.903614,0.0,0.0
2022-04-11T00:00:00Z,64.585366,23.056911,12.325203,0.03252,0.0
2022-04-18T00:00:00Z,60.781742,12.513116,26.678909,0.026233,0.0
2022-04-25T00:00:00Z,62.360248,25.118012,12.521739,0.0,0.0
2022-05-02T00:00:00Z,65.752924,19.95614,14.236111,0.0,0.054825
2022-05-09T00:00:00Z,67.589679,16.740088,15.670233,0.0,0.0
2022-05-16T00:00:00Z,53.485878,16.624955,29.889167,0.0,0.0
2022-05-23T00:00:00Z,70.077798,10.891682,18.940754,0.059844,0.029922
2022-05-30T00:00:00Z,71.775753,11.571389,15.962441,0.690417,0.0
2022-06-06T00:00:00Z,60.32316,25.413924,14.262916,0.0,0.0
2022-06-13T00:00:00Z,64.064766,11.841469,24.069599,0.0,0.024166
2022-06-20T00:00:00Z,76.161341,10.786313,13.052345,0.0,0.0
2022-06-27T00:00:00Z,58.914355,17.032569,23.811821,0.241255,0.0
2022-07-04T00:00:00Z,70.583752,10.71483,18.518519,0.182899,0.0
2022-07-11T00:00:00Z,57.001647,16.992233,26.006119,0.0,0.0
2022-07-18T00:00:00Z,72.844248,15.191089,11.964663,0.0,0.0
2022-07-25T00:00:00Z,68.396034,10.797789,20.388892,0.417285,0.0
2022-08-01T00:00:00Z,66.397695,10.874159,22.708934,0.019212,0.0
2022-08-08T00:00:00Z,72.698195,7.836418,19.419694,0.045693,0.0
2022-08-15T00:00:00Z,57.707332,7.8125,34.22476,0.255409,0.0
2022-08-22T00:00:00Z,60.538662,10.338836,29.122502,0.0,0.0
2022-08-29T00:00:00Z,52.963703,7.542458,39.244089,0.24975,0.0
2022-09-05T00:00:00Z,62.928349,15.057113,21.962617,0.051921,0.0
2022-09-12T00:00:00Z,73.785311,7.156309,19.05838,0.0,0.0
2022-09-19T00:00:00Z,69.51024,5.004452,25.485307,0.0,0.0
2022-09-26T00:00:00Z,73.588779,6.671228,19.226822,0.513171,0.0
2022-10-03T00:00:00Z,72.95726,7.69956,19.327467,0.0,0.015713
2022-10-10T00:00:00Z,70.560025,10.380569,17.249381,0.077351,1.732673
2022-10-17T00:00:00Z,70.49959,12.039312,11.941032,0.01638,5.503686
2022-10-24T00:00:00Z,61.198515,16.970126,17.111543,0.0,4.719816
2022-10-31T00:00:00Z,71.010226,7.483731,16.780291,0.0,4.725751
2022-11-07T00:00:00Z,66.205863,6.745503,11.875416,0.0,15.173218
2022-11-14T00:00:00Z,71.083217,13.761041,10.611344,0.023245,4.521153
2022-11-21T00:00:00Z,72.98357,8.215086,13.909634,0.056012,4.835698
2022-11-28T00:00:00Z,64.514563,9.385113,17.281553,0.0,8.81877
2022-12-05T00:00:00Z,63.242376,7.255217,24.767255,0.0,4.735152
2022-12-12T00:00:00Z,69.435004,7.901444,22.514868,0.02124,0.127443
2022-12-19T00:00:00Z,52.439278,15.922774,30.4754,0.04152,1.12103
2022-12-26T00:00:00Z,78.344797,6.989128,12.059019,0.210783,2.396272
