Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,51.413225,24.222038,24.142681,0.219231,0.002826
2022-01-03T00:00:00Z,52.345853,23.916345,23.456102,0.2709,0.010801
2022-01-10T00:00:00Z,54.20416,23.762855,21.763673,0.264451,0.00486
2022-01-17T00:00:00Z,54.21078,24.483909,21.033034,0.270528,0.001748
2022-01-24T00:00:00Z,52.848817,24.637459,22.226895,0.285271,0.001558
2022-01-31T00:00:00Z,51.995011,26.349572,21.341713,0.307565,0.006138
2022-02-07T00:00:00Z,52.710419,25.54217,21.445585,0.296882,0.004944
2022-02-14T00:00:00Z,54.373539,23.963614,21.437169,0.22267,0.003009
2022-02-21T00:00:00Z,54.693701,23.24006,21.683619,0.381266,0.001354
2022-02-28T00:00:00Z,54.206831,23.855674,21.693906,0.239518,0.004071
2022-03-07T00:00:00Z,55.593129,22.698908,21.383639,0.321012,0.003312
2022-03-14T00:00:00Z,51.961589,25.902976,21.779248,0.35352,0.002668
2022-03-21T00:00:00Z,57.777268,23.423357,18.587266,0.209296,0.002814
2022-03-28T00:00:00Z,55.554282,23.323163,20.848796,0.271654,0.002106
2022-04-04T00:00:00Z,51.853306,27.329168,20.623587,0.19323,0.00071
2022-04-11T00:00:00Z,52.587519,27.066672,20.052159,0.288402,0.005248
2022-04-18T00:00:00Z,49.063466,30.647438,20.059164,0.227242,0.002689
2022-04-25T00:00:00Z,50.596198,28.716444,20.432444,0.253477,0.001437
2022-05-02T00:00:00Z,53.337072,25.423211,21.010642,0.228396,0.000678
2022-05-09T00:00:00Z,52.783574,26.617618,20.3402,0.256927,0.001681
2022-05-16T00:00:00Z,53.639484,25.57321,20.623619,0.163444,0.000244
2022-05-23T00:00:00Z,49.647001,30.222142,19.93785,0.191621,0.001385
2022-05-30T00:00:00Z,51.649807,28.573789,19.543029,0.230885,0.00249
2022-06-06T00:00:00Z,51.055546,29.072628,19.678533,0.192376,0.000917
2022-06-13T00:00:00Z,56.030618,24.266756,19.402289,0.298376,0.001962
2022-06-20T00:00:00Z,53.484158,26.585258,19.648852,0.276486,0.005246
2022-06-27T00:00:00Z,52.488599,29.020849,18.301576,0.186938,0.002039
2022-07-04T00:00:00Z,51.610909,27.642598,19.9878,0.756875,0.001818
2022-07-11T00:00:00Z,53.133027,28.951336,17.732555,0.178971,0.00411
2022-07-18T00:00:00Z,51.70191,29.927081,18.236528,0.132312,0.002169
2022-07-25T00:00:00Z,53.281221,28.561484,17.737341,0.411625,0.00833
2022-08-01T00:00:00Z,50.081907,31.00602,18.725001,0.184489,0.002584
2022-08-08T00:00:00Z,53.070791,29.460864,17.302206,0.161956,0.004183
2022-08-15T00:00:00Z,52.925278,28.923398,18.049973,0.099146,0.002203
2022-08-22T00:00:00Z,50.735803,28.271169,20.736572,0.255407,0.001049
2022-08-29T00:00:00Z,50.184794,29.116337,20.466736,0.228733,0.003401
2022-09-05T00:00:00Z,47.85059,36.316262,15.555899,0.273584,0.003666
2022-09-12T00:00:00Z,48.836716,34.212847,16.384123,0.565665,0.00065
2022-09-19T00:00:00Z,50.961372,31.814105,17.080476,0.141509,0.002538
2022-09-26T00:00:00Z,53.4553,30.241728,15.826196,0.46853,0.008246
2022-10-03T00:00:00Z,58.719202,26.400906,14.599255,0.276079,0.004558
2022-10-10T00:00:00Z,55.261044,29.850166,14.796075,0.091747,0.000968
2022-10-17T00:00:00Z,55.306468,28.666865,15.844948,0.175313,0.006407
2022-10-24T00:00:00Z,53.016988,30.755041,16.068835,0.156639,0.002498
2022-10-31T00:00:00Z,56.082643,27.934056,15.754381,0.220885,0.008036
2022-11-07T00:00:00Z,55.842602,29.346066,14.597672,0.205194,0.008465
2022-11-14T00:00:00Z,55.22535,29.134392,15.367268,0.266599,0.006391
2022-11-21T00:00:00Z,47.07459,29.042497,23.717564,0.155838,0.009512
2022-11-28T00:00:00Z,48.91479,28.315173,22.625659,0.136687,0.007692
2022-12-05T00:00:00Z,49.88941,27.545748,22.435659,0.117865,0.011318
2022-12-12T00:00:00Z,51.356742,26.950879,21.567363,0.114509,0.010507
2022-12-19T00:00:00Z,46.69518,31.157508,21.697977,0.435764,0.013572
2022-12-26T00:00:00Z,52.297371,26.030453,21.585255,0.058219,0.028702
