Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,58.038461,29.770749,11.783813,0.398815,0.008161
2022-01-03T00:00:00Z,56.779772,30.602238,12.073624,0.532035,0.01233
2022-01-10T00:00:00Z,55.494391,31.652164,12.447397,0.393821,0.012227
2022-01-17T00:00:00Z,56.417199,31.779126,11.368641,0.424203,0.010831
2022-01-24T00:00:00Z,58.255409,29.04814,12.307223,0.372871,0.016356
2022-01-31T00:00:00Z,58.980887,29.451104,11.203703,0.353224,0.011082
2022-02-07T00:00:00Z,57.587838,30.899836,11.02605,0.475688,0.010588
2022-02-14T00:00:00Z,57.637693,30.471465,11.390089,0.490467,0.010286
2022-02-21T00:00:00Z,59.356439,29.35096,10.903799,0.378614,0.010188
2022-02-28T00:00:00Z,57.406679,30.333512,11.941861,0.310193,0.007755
2022-03-07T00:00:00Z,56.768029,31.738755,11.160062,0.322923,0.010232
2022-03-14T00:00:00Z,57.724199,28.36026,13.508744,0.37507,0.031728
2022-03-21T00:00:00Z,57.180358,28.209272,14.39124,0.209491,0.009639
2022-03-28T00:00:00Z,55.432135,29.56738,14.763722,0.21166,0.025103
2022-04-04T00:00:00Z,56.034042,31.441766,12.27516,0.246597,0.002436
2022-04-11T00:00:00Z,57.482229,30.699046,11.501583,0.308003,0.009139
2022-04-18T00:00:00Z,57.524132,29.493773,12.633557,0.338221,0.010316
2022-04-25T00:00:00Z,57.002546,27.132255,15.478721,0.376698,0.009781
2022-05-02T00:00:00Z,57.856551,29.724964,12.12286,0.293163,0.002462
2022-05-09T00:00:00Z,56.628798,30.666709,12.36136,0.320453,0.022681
2022-05-16T00:00:00Z,58.092821,29.286801,12.236093,0.367513,0.016771
2022-05-23T00:00:00Z,60.340021,26.229962,13.185217,0.238776,0.006024
2022-05-30T00:00:00Z,58.220191,30.833751,10.651572,0.288347,0.006139
2022-06-06T00:00:00Z,60.125352,29.279068,10.330467,0.248089,0.017024
2022-06-13T00:00:00Z,59.110888,30.402002,10.123188,0.361234,0.002687
2022-06-20T00:00:00Z,60.284312,27.859501,11.698164,0.149029,0.008993
2022-06-27T00:00:00Z,58.190067,27.570607,13.959613,0.226096,0.053617
2022-07-04T00:00:00Z,58.487481,28.700521,12.675181,0.13025,0.006567
2022-07-11T00:00:00Z,57.322394,28.707166,13.824735,0.134008,0.011697
2022-07-18T00:00:00Z,57.207336,28.842597,13.790651,0.155323,0.004093
2022-07-25T00:00:00Z,57.396171,29.634103,12.763091,0.185348,0.021288
2022-08-01T00:00:00Z,58.84245,28.099939,12.747662,0.304013,0.005936
2022-08-08T00:00:00Z,61.770187,25.532304,12.553726,0.139509,0.004274
2022-08-15T00:00:00Z,59.341484,25.519048,14.965392,0.162421,0.011656
2022-08-22T00:00:00Z,60.492663,25.870587,13.416267,0.203005,0.017478
2022-08-29T00:00:00Z,58.52793,26.455869,14.893413,0.116587,0.006201
2022-09-05T00:00:00Z,58.560729,26.449484,14.779413,0.200459,0.009916
2022-09-12T00:00:00Z,61.361826,24.08841,14.448299,0.095731,0.005734
2022-09-19T00:00:00Z,59.413383,25.598052,14.854122,0.123666,0.010777
2022-09-26T00:00:00Z,61.471752,24.735018,13.679925,0.106555,0.00675
2022-10-03T00:00:00Z,60.054071,24.854852,14.964902,0.115312,0.010864
2022-10-10T00:00:00Z,59.061285,26.76601,13.969481,0.188616,0.014608
2022-10-17T00:00:00Z,61.547971,24.199541,14.12564,0.106379,0.02047
2022-10-24T00:00:00Z,61.773227,24.616223,13.451544,0.142386,0.016619
2022-10-31T00:00:00Z,62.35221,24.406288,13.120586,0.109685,0.011231
2022-11-07T00:00:00Z,61.718897,24.730027,13.449569,0.087673,0.013835
2022-11-14T00:00:00Z,61.064993,26.03176,12.759591,0.128383,0.015272
2022-11-21T00:00:00Z,61.418336,23.489452,14.980217,0.083059,0.028936
2022-11-28T00:00:00Z,61.129107,24.276937,14.38988,0.188165,0.015912
2022-12-05T00:00:00Z,58.45897,26.7335,14.601216,0.175997,0.030317
2022-12-12T00:00:00Z,60.213874,24.665422,14.933068,0.172181,0.015454
2022-12-19T00:00:00Z,58.279055,27.056166,14.468013,0.174772,0.021996
2022-12-26T00:00:00Z,58.732191,25.273535,15.86905,0.100866,0.024357
