Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,54.950244,26.817692,17.911784,0.305685,0.014596
2022-01-03T00:00:00Z,56.316087,26.337839,17.003811,0.329902,0.012362
2022-01-10T00:00:00Z,56.466557,25.732064,17.351575,0.437689,0.012116
2022-01-17T00:00:00Z,56.16888,26.278345,17.166846,0.371951,0.013978
2022-01-24T00:00:00Z,55.218112,26.789357,17.592073,0.390003,0.010455
2022-01-31T00:00:00Z,54.216585,29.222068,16.204771,0.344231,0.012345
2022-02-07T00:00:00Z,54.498027,27.697031,17.428862,0.357644,0.018436
2022-02-14T00:00:00Z,55.200237,26.78664,17.656731,0.335526,0.020866
2022-02-21T00:00:00Z,55.910297,26.688284,17.08544,0.302487,0.013492
2022-02-28T00:00:00Z,53.9321,28.032652,17.635805,0.383602,0.015841
2022-03-07T00:00:00Z,54.233549,28.338207,17.04021,0.379054,0.008979
2022-03-14T00:00:00Z,54.487082,27.378033,17.741847,0.351289,0.041749
2022-03-21T00:00:00Z,55.279438,28.443836,15.943804,0.323739,0.009184
2022-03-28T00:00:00Z,55.214658,29.029049,15.349561,0.393063,0.013669
2022-04-04T00:00:00Z,54.101578,30.219731,15.352634,0.31634,0.009718
2022-04-11T00:00:00Z,53.112306,30.233234,16.250887,0.381299,0.022274
2022-04-18T00:00:00Z,54.659897,29.512066,15.498373,0.315491,0.014173
2022-04-25T00:00:00Z,55.19446,29.909886,14.588941,0.283841,0.022871
2022-05-02T00:00:00Z,53.269221,30.647586,15.805459,0.249512,0.028222
2022-05-09T00:00:00Z,56.175009,28.238238,15.305667,0.272133,0.008953
2022-05-16T00:00:00Z,56.342408,29.086686,14.165796,0.394701,0.010409
2022-05-23T00:00:00Z,54.019627,28.9505,16.748216,0.272089,0.009567
2022-05-30T00:00:00Z,53.630424,31.020008,14.890847,0.448843,0.009878
2022-06-06T00:00:00Z,56.184914,29.63252,13.98619,0.18894,0.007436
2022-06-13T00:00:00Z,55.737187,28.704181,15.201774,0.344694,0.012164
2022-06-20T00:00:00Z,53.607635,30.152409,15.930995,0.301532,0.007429
2022-06-27T00:00:00Z,52.440035,32.014969,15.227334,0.303045,0.014617
2022-07-04T00:00:00Z,57.524472,27.70031,14.531741,0.219774,0.023703
2022-07-11T00:00:00Z,52.75686,32.06476,14.944345,0.227488,0.006546
2022-07-18T00:00:00Z,52.00288,30.881906,16.817933,0.290182,0.007099
2022-07-25T00:00:00Z,53.178066,32.049244,14.52107,0.243888,0.007732
2022-08-01T00:00:00Z,51.440851,34.019214,14.297464,0.229137,0.013334
2022-08-08T00:00:00Z,54.24722,30.931138,14.523578,0.291986,0.006078
2022-08-15T00:00:00Z,54.851487,31.425455,13.525593,0.194495,0.002971
2022-08-22T00:00:00Z,50.413154,33.623459,15.750768,0.206973,0.005645
2022-08-29T00:00:00Z,52.68367,31.530841,15.515784,0.262407,0.007298
2022-09-05T00:00:00Z,55.000364,31.282389,13.524114,0.186133,0.007
2022-09-12T00:00:00Z,49.966271,34.576697,14.902568,0.549291,0.005173
2022-09-19T00:00:00Z,53.441266,31.655793,14.653914,0.243382,0.005645
2022-09-26T00:00:00Z,53.35238,31.504628,14.965052,0.171748,0.006193
2022-10-03T00:00:00Z,55.911024,30.753867,13.181308,0.148234,0.005567
2022-10-10T00:00:00Z,56.426177,31.005371,12.427192,0.137387,0.003873
2022-10-17T00:00:00Z,58.368749,29.32711,12.217313,0.08221,0.004618
2022-10-24T00:00:00Z,53.075293,33.07973,13.726917,0.111574,0.006486
2022-10-31T00:00:00Z,53.877037,31.490233,14.474049,0.149588,0.009092
2022-11-07T00:00:00Z,55.626596,29.806709,14.463818,0.098158,0.004718
2022-11-14T00:00:00Z,52.632841,33.807231,13.383204,0.169831,0.006892
2022-11-21T00:00:00Z,57.964731,29.832649,12.03571,0.160728,0.006182
2022-11-28T00:00:00Z,52.035324,31.352166,16.499117,0.104921,0.008472
2022-12-05T00:00:00Z,53.426918,30.885049,15.53154,0.151743,0.00475
2022-12-12T00:00:00Z,56.860687,31.162156,11.893811,0.079235,0.00411
2022-12-19T00:00:00Z,55.995226,31.452022,12.457427,0.086062,0.009262
2022-12-26T00:00:00Z,56.655757,29.216501,14.007775,0.106769,0.013198
