Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,55.820057,23.396132,20.365179,0.377664,0.040968
2022-01-03T00:00:00Z,57.174687,22.461901,19.989102,0.337674,0.036636
2022-01-10T00:00:00Z,58.624489,21.249614,19.761443,0.324545,0.039909
2022-01-17T00:00:00Z,59.2022,20.715672,19.73629,0.311721,0.034117
2022-01-24T00:00:00Z,58.866077,22.954687,17.841288,0.297741,0.040207
2022-01-31T00:00:00Z,59.787083,22.244894,17.664278,0.269796,0.033948
2022-02-07T00:00:00Z,59.648823,22.391445,17.638817,0.275932,0.044982
2022-02-14T00:00:00Z,59.851699,21.937229,17.928651,0.249873,0.032548
2022-02-21T00:00:00Z,60.26729,22.024697,17.440125,0.238912,0.028976
2022-02-28T00:00:00Z,61.593471,21.856123,16.285443,0.225032,0.039931
2022-03-07T00:00:00Z,62.105803,20.632642,16.981541,0.24318,0.036835
2022-03-14T00:00:00Z,64.91329,19.216871,15.432839,0.402036,0.034963
2022-03-21T00:00:00Z,60.78696,22.108902,16.812033,0.254083,0.038022
2022-03-28T00:00:00Z,56.281968,24.236405,19.037256,0.413418,0.030953
2022-04-04T00:00:00Z,55.17249,25.31207,19.049603,0.429693,0.036145
2022-04-11T00:00:00Z,53.906868,25.666711,20.134398,0.251184,0.040839
2022-04-18T00:00:00Z,52.810309,24.837229,21.94481,0.351752,0.0559
2022-04-25T00:00:00Z,53.052674,26.502081,20.02341,0.365932,0.055903
2022-05-02T00:00:00Z,53.732216,26.437617,19.506105,0.290199,0.033863
2022-05-09T00:00:00Z,54.198842,24.418713,21.100714,0.248493,0.033237
2022-05-16T00:00:00Z,54.415798,26.639663,18.635947,0.265666,0.042926
2022-05-23T00:00:00Z,55.419405,25.424303,18.89359,0.229732,0.032969
2022-05-30T00:00:00Z,55.831044,25.368853,18.50822,0.25206,0.039823
2022-06-06T00:00:00Z,55.408202,25.369777,18.95813,0.233454,0.030437
2022-06-13T00:00:00Z,55.803014,27.554802,16.357599,0.241344,0.043241
2022-06-20T00:00:00Z,56.22606,26.626454,16.849284,0.254085,0.044117
2022-06-27T00:00:00Z,54.878455,26.497224,18.351868,0.242781,0.029672
2022-07-04T00:00:00Z,51.961114,29.914969,17.865956,0.209348,0.048614
2022-07-11T00:00:00Z,49.845719,30.49097,19.396277,0.224781,0.042252
2022-07-18T00:00:00Z,50.395977,30.632879,18.692887,0.228843,0.049415
2022-07-25T00:00:00Z,51.63995,30.320539,17.6201,0.381353,0.038058
2022-08-01T00:00:00Z,55.72095,28.242385,15.85325,0.153165,0.03025
2022-08-08T00:00:00Z,60.559958,24.793054,14.427256,0.19037,0.029361
2022-08-15T00:00:00Z,62.173608,24.52901,13.062081,0.171659,0.063642
2022-08-22T00:00:00Z,58.173811,28.27748,13.330241,0.193969,0.024499
2022-08-29T00:00:00Z,61.180077,25.445545,13.195744,0.150738,0.027896
2022-09-05T00:00:00Z,58.172203,27.043097,14.539307,0.219161,0.026232
2022-09-12T00:00:00Z,59.028141,26.812982,13.952722,0.181089,0.025065
2022-09-19T00:00:00Z,55.596953,29.234648,14.878088,0.248382,0.041929
2022-09-26T00:00:00Z,59.559882,26.078655,14.156633,0.147656,0.057174
2022-10-03T00:00:00Z,59.180319,26.188033,14.396253,0.183645,0.05175
2022-10-10T00:00:00Z,57.827424,27.360212,14.578877,0.123219,0.110267
2022-10-17T00:00:00Z,58.597314,26.309487,14.94361,0.109674,0.039915
2022-10-24T00:00:00Z,58.231298,27.836319,13.794204,0.113288,0.02489
2022-10-31T00:00:00Z,57.835223,27.042913,14.961112,0.134047,0.026705
2022-11-07T00:00:00Z,57.288914,27.344102,15.202173,0.137543,0.027268
2022-11-14T00:00:00Z,58.456171,27.805529,13.590246,0.124119,0.023935
2022-11-21T00:00:00Z,57.990767,28.628197,13.233757,0.122382,0.024897
2022-11-28T00:00:00Z,58.48193,28.198942,13.169176,0.123543,0.026409
2022-12-05T00:00:00Z,56.057176,29.730993,14.060317,0.121889,0.029625
2022-12-12T00:00:00Z,56.809939,29.950366,13.114335,0.106544,0.018817
2022-12-19T00:00:00Z,58.756836,27.631601,13.450875,0.136574,0.024115
2022-12-26T00:00:00Z,61.436553,25.564566,12.852638,0.117922,0.028321
