Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,55.192928,22.845547,21.527855,0.433671,0.0
2022-01-03T00:00:00Z,56.948146,22.576932,20.159922,0.314999,0.0
2022-01-10T00:00:00Z,56.003983,20.540909,23.214005,0.241103,0.0
2022-01-17T00:00:00Z,59.546545,19.53871,20.718868,0.195877,0.0
2022-01-24T00:00:00Z,58.594771,20.724401,20.522876,0.147059,0.010893
2022-01-31T00:00:00Z,47.194096,30.41016,21.795092,0.594932,0.00572
2022-02-07T00:00:00Z,53.991068,20.994815,24.762589,0.251527,0.0
2022-02-14T00:00:00Z,58.60635,18.370329,22.736724,0.286597,0.0
2022-02-21T00:00:00Z,56.864077,21.529476,21.29856,0.307887,0.0
2022-02-28T00:00:00Z,52.078317,25.748421,21.964294,0.204425,0.004543
2022-03-07T00:00:00Z,55.847405,21.315395,22.509412,0.327788,0.0
2022-03-14T00:00:00Z,45.836893,28.586408,25.293204,0.283495,0.0
2022-03-21T00:00:00Z,55.980444,23.021443,20.751246,0.246866,0.0
2022-03-28T00:00:00Z,58.443588,22.111678,18.903011,0.541723,0.0
2022-04-04T00:00:00Z,59.419335,19.836846,20.166194,0.562424,0.015201
2022-04-11T00:00:00Z,56.678131,21.405369,21.811407,0.105092,0.0
2022-04-18T00:00:00Z,69.387687,15.916118,14.380293,0.315903,0.0
2022-04-25T00:00:00Z,51.858896,29.054023,18.81085,0.276231,0.0
2022-05-02T00:00:00Z,49.301511,32.029779,18.37968,0.28903,0.0
2022-05-09T00:00:00Z,58.163997,23.820225,17.556777,0.454219,0.004781
2022-05-16T00:00:00Z,49.968705,29.631617,20.229793,0.152003,0.017883
2022-05-23T00:00:00Z,53.178817,23.570288,23.022142,0.228754,0.0
2022-05-30T00:00:00Z,59.605299,22.255957,17.595915,0.538228,0.0046
2022-06-06T00:00:00Z,52.445049,26.698931,20.719903,0.136116,0.0
2022-06-13T00:00:00Z,52.823351,24.024371,22.913348,0.23893,0.0
2022-06-20T00:00:00Z,57.278158,20.141823,21.676623,0.903395,0.0
2022-06-27T00:00:00Z,64.943685,17.316975,17.546259,0.193081,0.0
2022-07-04T00:00:00Z,57.430763,23.455475,18.53856,0.575202,0.0
2022-07-11T00:00:00Z,61.620977,20.099686,18.037346,0.241991,0.0
2022-07-18T00:00:00Z,50.109948,22.175463,27.506066,0.208523,0.0
2022-07-25T00:00:00Z,47.060231,33.298194,19.284773,0.356803,0.0
2022-08-01T00:00:00Z,52.460979,29.886485,17.355445,0.288223,0.008868
2022-08-08T00:00:00Z,51.237043,27.777235,20.853706,0.132016,0.0
2022-08-15T00:00:00Z,70.039469,16.302732,13.552719,0.10508,0.0
2022-08-22T00:00:00Z,46.930327,37.988791,15.014011,0.06687,0.0
2022-08-29T00:00:00Z,52.939261,26.262009,20.558541,0.240189,0.0
2022-09-05T00:00:00Z,56.476664,22.878604,20.331755,0.312977,0.0
2022-09-12T00:00:00Z,56.640299,32.198525,10.924201,0.236975,0.0
2022-09-19T00:00:00Z,58.662462,26.316194,14.794447,0.226897,0.0
2022-09-26T00:00:00Z,66.060333,20.120066,13.681525,0.138076,0.0
2022-10-03T00:00:00Z,52.246826,34.316504,13.404193,0.032477,0.0
2022-10-10T00:00:00Z,56.159868,32.423921,11.260227,0.155983,0.0
2022-10-17T00:00:00Z,62.647129,21.853231,15.481624,0.018016,0.0
2022-10-24T00:00:00Z,59.754656,28.590191,11.599989,0.047283,0.00788
2022-10-31T00:00:00Z,62.256968,21.343304,16.274643,0.125085,0.0
2022-11-07T00:00:00Z,65.950158,20.81009,12.939607,0.300146,0.0
2022-11-14T00:00:00Z,58.572453,24.315247,17.020999,0.08804,0.003261
2022-11-21T00:00:00Z,54.635857,26.957423,18.300884,0.079377,0.026459
2022-11-28T00:00:00Z,51.690095,33.031999,15.157681,0.099417,0.020808
2022-12-05T00:00:00Z,56.859077,27.232708,15.787157,0.118307,0.002751
2022-12-12T00:00:00Z,57.062568,28.010548,14.868284,0.042618,0.015982
2022-12-19T00:00:00Z,63.070852,19.752317,16.956149,0.215489,0.005193
2022-12-26T00:00:00Z,61.908822,23.554341,14.4917,0.027584,0.017554
