Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S  Q U I C,Serie_0  T L S 1.2,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,59.220729,22.869807,17.185281,0.70968,0.014503
2022-01-03T00:00:00Z,60.053928,22.853513,16.433482,0.644073,0.015004
2022-01-10T00:00:00Z,59.500924,23.695672,16.158186,0.634969,0.010249
2022-01-17T00:00:00Z,59.393898,24.251811,15.668817,0.670272,0.015201
2022-01-24T00:00:00Z,59.202022,24.868581,15.320492,0.598159,0.010746
2022-01-31T00:00:00Z,58.9617,25.497348,14.893929,0.635824,0.011198
2022-02-07T00:00:00Z,58.576498,25.858311,14.904579,0.650173,0.010439
2022-02-14T00:00:00Z,59.700853,24.188402,15.470058,0.632096,0.008591
2022-02-21T00:00:00Z,60.334679,23.719489,15.231242,0.700187,0.014402
2022-02-28T00:00:00Z,57.834979,25.213952,16.30423,0.632046,0.014794
2022-03-07T00:00:00Z,57.773011,25.060422,16.444601,0.713055,0.00891
2022-03-14T00:00:00Z,56.883208,26.772763,15.704569,0.631508,0.007951
2022-03-21T00:00:00Z,59.138155,24.523176,15.597093,0.733686,0.007891
2022-03-28T00:00:00Z,57.692852,24.909,16.710738,0.676691,0.010719
2022-04-04T00:00:00Z,55.567142,28.346948,15.456031,0.620338,0.009541
2022-04-11T00:00:00Z,57.206756,26.081768,16.13391,0.565594,0.011972
2022-04-18T00:00:00Z,56.631001,25.227092,17.497228,0.629029,0.01565
2022-04-25T00:00:00Z,57.520184,24.656727,17.2436,0.56132,0.01817
2022-05-02T00:00:00Z,55.514899,27.107779,16.713502,0.635967,0.027853
2022-05-09T00:00:00Z,54.833413,25.985961,18.596225,0.550777,0.033624
2022-05-16T00:00:00Z,55.725123,27.205372,16.439144,0.58515,0.045212
2022-05-23T00:00:00Z,54.995468,27.520697,16.877741,0.561582,0.044511
2022-05-30T00:00:00Z,55.961246,26.889213,16.576038,0.544878,0.028625
2022-06-06T00:00:00Z,56.524185,26.688144,16.275082,0.486385,0.026205
2022-06-13T00:00:00Z,56.390194,27.378481,15.56613,0.630547,0.034648
2022-06-20T00:00:00Z,55.811348,27.130635,16.498559,0.529852,0.029607
2022-06-27T00:00:00Z,54.026007,28.841661,16.62268,0.499879,0.009773
2022-07-04T00:00:00Z,53.15701,28.952443,17.289606,0.563435,0.037506
2022-07-11T00:00:00Z,53.973795,28.165019,17.245595,0.600574,0.015017
2022-07-18T00:00:00Z,54.460426,27.978008,17.014761,0.527575,0.01923
2022-07-25T00:00:00Z,53.708311,28.875661,16.842325,0.561238,0.012464
2022-08-01T00:00:00Z,54.770963,28.471985,16.261901,0.478631,0.01652
2022-08-08T00:00:00Z,53.639436,28.425616,17.378198,0.502575,0.054175
2022-08-15T00:00:00Z,54.082383,27.851414,17.605196,0.451361,0.009646
2022-08-22T00:00:00Z,55.37705,28.642718,15.549002,0.421056,0.010174
2022-08-29T00:00:00Z,52.839022,29.830245,16.747307,0.575889,0.007538
2022-09-05T00:00:00Z,53.70464,29.213734,16.607398,0.465082,0.009146
2022-09-12T00:00:00Z,58.417893,26.779854,14.373204,0.420061,0.008989
2022-09-19T00:00:00Z,58.477259,25.737992,15.332277,0.443673,0.008798
2022-09-26T00:00:00Z,60.582916,26.251403,12.783141,0.367271,0.015269
2022-10-03T00:00:00Z,60.864911,23.843045,14.830243,0.431951,0.02985
2022-10-10T00:00:00Z,60.48669,24.406495,14.747949,0.314413,0.044453
2022-10-17T00:00:00Z,62.073695,23.697342,13.887459,0.290271,0.051233
2022-10-24T00:00:00Z,63.066098,24.345162,12.231222,0.324596,0.032922
2022-10-31T00:00:00Z,61.699214,24.057597,13.893807,0.30602,0.043362
2022-11-07T00:00:00Z,59.896929,25.053853,14.630391,0.377626,0.041201
2022-11-14T00:00:00Z,57.261432,25.259185,17.120683,0.318349,0.040351
2022-11-21T00:00:00Z,58.534359,28.263364,12.843262,0.319898,0.039117
2022-11-28T00:00:00Z,54.523154,28.650497,16.411366,0.373865,0.041118
2022-12-05T00:00:00Z,54.834122,28.682858,16.048833,0.389669,0.044518
2022-12-12T00:00:00Z,57.080949,29.159302,13.236236,0.482062,0.041452
2022-12-19T00:00:00Z,54.556069,30.050239,14.920458,0.436499,0.036735
2022-12-26T00:00:00Z,56.893638,29.430007,13.26705,0.366086,0.043219
