Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,61.505376,25.125448,13.189964,0.179211,0.0
2022-01-03T00:00:00Z,60.238751,24.591368,14.986226,0.183655,0.0
2022-01-10T00:00:00Z,60.588826,17.614587,21.428571,0.368016,0.0
2022-01-17T00:00:00Z,66.231712,19.124819,14.353499,0.28997,0.0
2022-01-24T00:00:00Z,63.222613,23.890131,12.488023,0.399233,0.0
2022-01-31T00:00:00Z,48.798927,39.812218,10.913303,0.451164,0.024387
2022-02-07T00:00:00Z,47.675706,32.664638,18.940232,0.705589,0.013835
2022-02-14T00:00:00Z,58.249268,17.556134,22.876668,1.31793,0.0
2022-02-21T00:00:00Z,63.437179,21.602191,13.916467,1.044163,0.0
2022-02-28T00:00:00Z,65.33818,13.734908,19.745554,1.181358,0.0
2022-03-07T00:00:00Z,59.868791,18.856607,20.824742,0.412371,0.037488
2022-03-14T00:00:00Z,58.15854,23.644783,17.937892,0.245165,0.01362
2022-03-21T00:00:00Z,74.347036,12.945719,12.491483,0.204406,0.011356
2022-03-28T00:00:00Z,74.234291,13.619619,11.977687,0.147353,0.02105
2022-04-04T00:00:00Z,58.575559,17.029371,23.953736,0.441333,0.0
2022-04-11T00:00:00Z,58.598726,23.711639,17.573827,0.115808,0.0
2022-04-18T00:00:00Z,40.965092,11.98432,46.985253,0.065335,0.0
2022-04-25T00:00:00Z,76.410354,10.429506,13.046364,0.113776,0.0
2022-05-02T00:00:00Z,55.4642,17.968482,23.312778,3.254539,0.0
2022-05-09T00:00:00Z,74.099841,9.947516,13.938728,2.013914,0.0
2022-05-16T00:00:00Z,51.849251,14.758895,32.98221,0.292603,0.117041
2022-05-23T00:00:00Z,75.487393,10.111775,12.581232,1.8196,0.0
2022-05-30T00:00:00Z,65.109034,11.331776,22.741433,0.752856,0.064901
2022-06-06T00:00:00Z,62.589928,20.003509,16.406387,0.473767,0.526408
2022-06-13T00:00:00Z,52.580268,15.091642,31.990121,0.33797,0.0
2022-06-20T00:00:00Z,55.260393,23.022662,20.756416,0.960528,0.0
2022-06-27T00:00:00Z,62.512919,18.263694,18.706629,0.516758,0.0
2022-07-04T00:00:00Z,53.507122,26.256383,19.846815,0.38968,0.0
2022-07-11T00:00:00Z,64.66657,18.523899,16.475374,0.334157,0.0
2022-07-18T00:00:00Z,62.216889,13.244338,22.40888,2.129894,0.0
2022-07-25T00:00:00Z,47.98978,14.143724,37.404024,0.462472,0.0
2022-08-01T00:00:00Z,66.441585,10.95681,21.404001,1.197605,0.0
2022-08-08T00:00:00Z,57.469699,12.760452,29.483862,0.285987,0.0
2022-08-15T00:00:00Z,53.643016,11.931276,33.683317,0.731785,0.010606
2022-08-22T00:00:00Z,57.623709,11.331635,30.548478,0.482768,0.01341
2022-08-29T00:00:00Z,57.663961,9.487825,32.829555,0.018658,0.0
2022-09-05T00:00:00Z,69.960682,12.280472,17.300131,0.458716,0.0
2022-09-12T00:00:00Z,62.168963,11.132415,26.243259,0.455362,0.0
2022-09-19T00:00:00Z,71.370228,10.193366,18.053009,0.375063,0.008335
2022-09-26T00:00:00Z,57.004059,18.103554,24.830894,0.061493,0.0
2022-10-03T00:00:00Z,69.274009,13.509909,16.958841,0.219131,0.03811
2022-10-10T00:00:00Z,63.85745,11.084089,24.67496,0.364793,0.018707
2022-10-17T00:00:00Z,71.569761,9.378614,18.946483,0.052571,0.052571
2022-10-24T00:00:00Z,63.082437,14.603175,21.669227,0.286738,0.358423
2022-10-31T00:00:00Z,62.762697,17.666375,18.925131,0.197023,0.448774
2022-11-07T00:00:00Z,60.620046,16.283736,22.444065,0.040132,0.61202
2022-11-14T00:00:00Z,62.205965,13.224536,24.074282,0.056275,0.438942
2022-11-21T00:00:00Z,56.904684,22.470722,19.900781,0.300911,0.422902
2022-11-28T00:00:00Z,66.92256,16.524326,15.900585,0.19192,0.460608
2022-12-05T00:00:00Z,64.585859,11.707071,22.878788,0.191919,0.636364
2022-12-12T00:00:00Z,61.74002,10.153531,24.288639,3.541453,0.276356
2022-12-19T00:00:00Z,51.48771,15.836567,32.298404,0.086244,0.291074
2022-12-26T00:00:00Z,63.473179,10.091839,26.101023,0.146107,0.187852
