Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,68.527914,21.510702,9.434959,0.501605,0.02482
2022-01-03T00:00:00Z,70.222292,20.709172,8.578993,0.481819,0.007724
2022-01-10T00:00:00Z,70.936248,20.310956,8.215615,0.533311,0.00387
2022-01-17T00:00:00Z,70.021031,21.308606,8.252706,0.407963,0.009694
2022-01-24T00:00:00Z,69.40566,20.668812,9.362328,0.548227,0.014974
2022-01-31T00:00:00Z,69.427566,20.881616,9.125402,0.559426,0.005991
2022-02-07T00:00:00Z,70.179565,20.787149,8.598334,0.4311,0.003852
2022-02-14T00:00:00Z,70.703156,19.742961,9.030192,0.506086,0.017605
2022-02-21T00:00:00Z,70.490665,20.501865,8.519376,0.478968,0.009126
2022-02-28T00:00:00Z,70.540096,20.041171,8.846173,0.566168,0.006391
2022-03-07T00:00:00Z,70.811088,19.788403,8.843864,0.546563,0.010081
2022-03-14T00:00:00Z,70.69884,20.115275,8.734515,0.441956,0.009414
2022-03-21T00:00:00Z,68.485126,17.986519,12.799598,0.723607,0.00515
2022-03-28T00:00:00Z,73.079887,17.053459,9.573973,0.288369,0.004313
2022-04-04T00:00:00Z,71.413562,17.61029,10.732488,0.241983,0.001677
2022-04-11T00:00:00Z,72.205413,16.734467,10.853292,0.199148,0.007681
2022-04-18T00:00:00Z,71.648829,16.887163,11.27857,0.180044,0.005394
2022-04-25T00:00:00Z,72.971887,15.902189,10.346663,0.773782,0.005479
2022-05-02T00:00:00Z,72.268214,16.912677,10.615013,0.199,0.005096
2022-05-09T00:00:00Z,67.667133,21.204919,10.946161,0.176915,0.004872
2022-05-16T00:00:00Z,70.514574,17.808449,11.270742,0.39741,0.008825
2022-05-23T00:00:00Z,71.318929,16.433145,11.881365,0.354332,0.01223
2022-05-30T00:00:00Z,70.237954,16.99317,12.519177,0.241579,0.00812
2022-06-06T00:00:00Z,70.507445,16.231197,12.906703,0.345206,0.00945
2022-06-13T00:00:00Z,66.545406,17.487628,15.488986,0.467718,0.010261
2022-06-20T00:00:00Z,68.107345,17.391191,14.241223,0.246545,0.013697
2022-06-27T00:00:00Z,66.014049,18.4871,15.182815,0.311654,0.004381
2022-07-04T00:00:00Z,67.691311,16.72533,15.160987,0.405478,0.016895
2022-07-11T00:00:00Z,69.035324,16.197115,14.356215,0.408198,0.003149
2022-07-18T00:00:00Z,68.566471,16.203929,14.798509,0.424494,0.006597
2022-07-25T00:00:00Z,65.887303,18.162175,15.526932,0.401641,0.021949
2022-08-01T00:00:00Z,70.369175,15.072139,14.115064,0.42449,0.019132
2022-08-08T00:00:00Z,70.35415,15.25679,14.081753,0.27832,0.028987
2022-08-15T00:00:00Z,64.838617,14.694893,20.186259,0.272614,0.007617
2022-08-22T00:00:00Z,69.262148,14.791591,15.652824,0.267127,0.026311
2022-08-29T00:00:00Z,71.697745,13.465001,14.542827,0.289404,0.005023
2022-09-05T00:00:00Z,71.126481,13.87721,14.741597,0.253934,0.000777
2022-09-12T00:00:00Z,73.232595,15.634281,10.91898,0.210001,0.004142
2022-09-19T00:00:00Z,71.331252,15.216612,13.231785,0.217265,0.003087
2022-09-26T00:00:00Z,74.125272,13.882644,11.706115,0.282604,0.003364
2022-10-03T00:00:00Z,74.338704,12.661219,12.725283,0.263457,0.011337
2022-10-10T00:00:00Z,72.847243,11.542172,15.267039,0.289215,0.054332
2022-10-17T00:00:00Z,71.942218,12.905783,14.904273,0.21741,0.030315
2022-10-24T00:00:00Z,74.661776,12.121839,12.875046,0.286142,0.055197
2022-10-31T00:00:00Z,72.775827,12.991922,13.984558,0.207869,0.039825
2022-11-07T00:00:00Z,73.340556,12.938465,13.411446,0.230262,0.079271
2022-11-14T00:00:00Z,72.000323,14.339641,13.349851,0.256895,0.05329
2022-11-21T00:00:00Z,73.730625,13.151775,12.808149,0.269467,0.039984
2022-11-28T00:00:00Z,71.134474,15.054192,13.436655,0.317683,0.056997
2022-12-05T00:00:00Z,69.551944,15.487647,14.582933,0.3481,0.029376
2022-12-12T00:00:00Z,69.14967,16.165475,14.306863,0.313072,0.06492
2022-12-19T00:00:00Z,70.951073,15.165187,13.529272,0.274414,0.080054
2022-12-26T00:00:00Z,71.84841,15.104988,12.654833,0.340179,0.051589
